Timestamp,MaxAx,MaxAy,MaxAz,MaxGx,MaxGy,MaxGz,MaxMx,MaxMy,MaxMz,MaxLiAx,MaxLiAy,MaxLiAz,MaxP,MinAx,MinAy,MinAz,MinGx,MinGy,MinGz,MinMx,MinMy,MinMz,MinLiAx,MinLiAy,MinLiAz,MinP,MeanAx,MeanAy,MeanAz,MeanGx,MeanGy,MeanGz,MeanMx,MeanMy,MeanMz,MeanLiAx,MeanLiAy,MeanLiAz,MeanP,StandardDeviationAx,StandardDeviationAy,StandardDeviationAz,StandardDeviationGx,StandardDeviationGy,StandardDeviationGz,StandardDeviationMx,StandardDeviationMy,StandardDeviationMz,StandardDeviationLiAx,StandardDeviationLiAy,StandardDeviationLiAz,StandardDeviationP,MedianAx,MedianAy,MedianAz,MedianGx,MedianGy,MedianGz,MedianMx,MedianMy,MedianMz,MedianLiAx,MedianLiAy,MedianLiAz,MedianP,VarianceAx,VarianceAy,VarianceAz,VarianceGx,VarianceGy,VarianceGz,VarianceMx,VarianceMy,VarianceMz,VarianceLiAx,VarianceLiAy,VarianceLiAz,VarianceP,KurtosisAx,KurtosisAy,KurtosisAz,KurtosisGx,KurtosisGy,KurtosisGz,KurtosisMx,KurtosisMy,KurtosisMz,KurtosisLiAx,KurtosisLiAy,KurtosisLiAz,KurtosisP,SkeAx,SkeAy,SkeAz,SkeGx,SkeGy,SkeGz,SkeMx,SkeMy,SkeMz,SkeLiAx,SkeLiAy,SkeLiAz,SkeP,SMAAcc,SMAGyr,SMAMag,SMALiAcc,GroupType,Type,Pose,PoseName
0,-7.801731588021219,5.811545420617595,-0.7262624956250268,0.017423687191339826,0.02546563302150201,-0.0022629438006911322,37.72650394225933,-30.540984181966692,44.63913838443882,0.009623433471760815,0.05676091440942872,-5.663415612482191e-05,990.1276904654636,-7.923205294992032,5.643198065969697,-0.9707166212104474,-0.01678808304519585,0.002982995220800997,-0.01423529316961901,37.35177584271269,-31.084260984101967,43.65432388973637,-0.04155440051260397,0.02586136204801243,-0.06430857916859814,990.1252815260672,-7.855304417467859,5.711108400984091,-0.8785842566074626,0.0013909134386753403,0.010000658167163815,-0.009615800914368778,37.55122015679896,-30.70740916796532,44.31692112014522,-0.029182580560117414,0.04021804812461572,-0.028195506230881368,990.1264611370785,0.038593659889730236,0.05406741984747062,0.07627963555497479,0.011570257111316457,0.005204845172177071,0.0039183964540833935,0.13221602098614335,0.17348902661250393,0.2860531101782335,0.014642171674619503,0.006611478831604467,0.02373297598437912,0.0007464300835550593,-7.852825833839373,5.697033021788119,-0.9178723354905304,-0.0007654299560880006,0.009918297866734815,-0.01073334790082369,37.55267232190641,-30.62406275304532,44.46423498543405,-0.03523876889933028,0.0411849968766313,-0.019157237725785186,990.1264914463036,0.0014894705836841725,0.0029232858889626607,0.005818582800399773,0.00013387084962196902,2.709041326633496e-05,1.535383077137331e-05,0.017481076205408296,0.0300984423549541,0.08182638184264057,0.00021439319134902964,4.371165234075397e-05,0.0005632541490751158,5.571578696360129e-07,-1.3052638518257365,-1.2061834166322614,-0.8992890851786846,-1.5015226905250645,-0.08516040790263979,-1.041512780459949,-1.5437098618518077,-0.7203532327024602,-0.31494326334746203,0.3345091354969414,-0.02319308806272247,-1.4993802753560126,-1.2232098598186123,-0.2263846247988677,0.4666554674605569,0.7791110512564929,0.1354209853127453,0.5572120418732025,0.5859408622467122,-0.05125742638458911,-0.8262025902073721,-1.0104473854220326,1.2860059963373032,-0.2371230691403383,-0.4139952909431848,-0.042447850113578295,14.444997075059414,0.029866280823297564,112.57555044490955,0.09836583106408484,1,11.0,1,Calling
1,-7.8153537885072435,5.768289912832283,-0.7952863151811757,0.016284464179246838,0.11342728355376948,-0.0008884930417830488,37.72650394225933,-30.540984181966692,44.96219082003146,0.05060502539639099,0.09580847589686653,0.008195423371619782,990.1278410362268,-7.936687643928787,5.612738264921272,-1.1309664086942823,-0.0646857222521474,0.003450092482163991,-0.015476528299502641,36.98434935454196,-30.912665986322803,44.06107101701144,-0.04155440051260397,0.03522168198692952,-0.059125016162767975,990.1252815260672,-7.880209151324324,5.679416397474737,-0.9374599008082908,-0.010120824408368343,0.022160795477151187,-0.008859497711060413,37.54241045767375,-30.660326809883017,44.51363679781061,-0.014816242515110998,0.048734731389162816,-0.01460488585788176,990.1264611562573,0.04003883702882117,0.04055564521956705,0.07186519092437438,0.018922019942269743,0.02711713224710559,0.0047886765172784115,0.1700724632291966,0.1115059517211246,0.20215765665512672,0.0282074337016298,0.0135073335866214,0.018932054153830164,0.0007648238189521209,-7.881138154998388,5.662727391496412,-0.9375866220811748,-0.0077737484556884935,0.013454310369005408,-0.01073334790082369,37.567111939887106,-30.62406275304532,44.52169740751372,-0.028937823987703382,0.043496596635595186,-0.007824674605766642,990.1264486633017,0.0016031084706205011,0.0016447603591753914,0.005164605666596781,0.0003580428386956538,0.0007353388613070139,2.293142278713369e-05,0.028924642748846426,0.012433577269233772,0.0408677181442921,0.0007956593160318408,0.00018244806062027048,0.000358422674483558,5.849554740365069e-07,-1.358484991550816,-0.6319675409843728,0.6361719929539453,1.06686337548925,3.2698191474354905,-1.4371528467182553,1.6597895569428658,-0.7528047977732037,0.07097242882764299,-0.4282504906083009,2.3106469196797503,-0.18781553411762397,-1.13368554014277,0.10413333962605004,0.6957303298132702,-0.4999611726484792,-1.1406937636801602,2.065410818484259,0.39799383806247535,-1.2669267446479222,-0.7132981601565367,0.00367149245916234,0.9326692735916752,1.6933270958911393,-0.974950727065696,0.08305576865208956,14.497085449607349,0.04607444482375479,112.71637406536742,0.09409587714641092,1,11.0,1,Calling
2,-7.838159342643618,5.717762667532523,-0.8908702980886513,0.004231225075971598,0.1958337102152734,-0.0008884930417830488,37.72650394225933,-30.540984181966692,45.22453917017172,0.06818824617462646,0.1731926416601656,0.008195423371619782,990.1284935402459,-7.937917202930818,5.5133450878177,-1.4023955436571125,-0.13240942745436698,0.003450092482163991,-0.04251479470990638,35.80231842340029,-31.34538503512793,44.370092099302795,-0.03998681182328622,0.038320272961019516,-0.030487542603730437,990.1252815260672,-7.901482148214733,5.640056595365218,-1.0248756466577449,-0.03259704250671934,0.05161774576095822,-0.013108225365540124,37.32930583538797,-30.724898285718666,44.69853787829497,0.0054901327164216356,0.07002810222226177,-0.005766570474527428,990.1268986631433,0.03201872391516316,0.052640528517906605,0.1417578624926904,0.03890699544630327,0.0628992718247672,0.012104827130246095,0.5302815202357637,0.22178828633145506,0.26224109815059565,0.03776326897940533,0.0407604486892753,0.009276789064851949,0.0010313538625728034,-7.911132249504106,5.655551254735433,-0.9415269144451264,-0.012475497411242036,0.013753572094972362,-0.01073334790082369,37.567111939887106,-30.62406275304532,44.5536113907378,-0.002868271947280643,0.04683386172572532,-0.00532573012885385,990.1269674220848,0.001025198681155441,0.002771025242644539,0.02009529157849652,0.001513754294658663,0.003956318396085954,0.0001465268398531419,0.28119849070355263,0.049190043953843486,0.06877039355923034,0.0014260644840109167,0.0016614141773510446,8.605881535375666e-05,1.0636907898438407e-06,-1.1255249916319328,0.3206097560598793,0.4989428554536652,0.22297781174922804,-0.3044897112585714,0.5686821494913761,1.089529112987087,0.5140676864375537,-0.6925469273674261,-1.3916601344953048,0.555720995903811,0.2226203247081817,-1.150624464924252,0.5175759518128558,-1.0340914025216352,-1.3350855048960288,-1.234529715968974,1.10586210884596,-1.2915523542113243,-1.5171931958496307,-1.296712998197738,0.8581008460863773,0.3641438312510111,1.403982422243191,-0.7313762245528481,-0.09527240918234378,14.566414390237696,0.09769796151273373,112.7527419994016,0.11131983658554034,1,11.0,1,Calling
3,-7.719426769299263,5.6775305219400085,-0.93274137584924,-0.0050464919070154594,0.2293906338003245,0.007088510646576,37.72650394225933,-30.540984181966692,45.22453917017172,0.06818824617462646,0.17634530718075245,0.008195423371619782,990.1284935402459,-7.937917202930818,5.5133450878177,-1.6713769813879389,-0.18902756874763826,0.003450092482163991,-0.04251479470990638,33.65486960844876,-32.66355634898873,44.516452311011015,-0.034864716428499545,0.038320272961019516,-0.03311643635092003,990.1257549463744,-7.895321398819295,5.615393092324097,-1.1520041399695484,-0.06576887359045652,0.0931958509249139,-0.014571054222095902,36.76413606044727,-30.995726990973786,44.815334237006674,0.022900839220722943,0.09405140098314163,-0.0076485016221405815,990.12739681658,0.04984606692539247,0.05322465958527228,0.2431667910398197,0.06224828273293894,0.08665235417278923,0.014225527496507203,1.187078713447632,0.5679100573359644,0.2657803799185106,0.03475998108288838,0.05193830966363997,0.012060114952341768,0.0007509503702108996,-7.911132249504106,5.6406430529026,-1.0388335662586985,-0.04059084359269211,0.06716798245948116,-0.00957977849075662,37.36060546497812,-30.749381309871946,44.77193016802005,0.03377833859719423,0.06843016328525711,-0.00532573012885385,990.127492508252,0.0024846303879307056,0.002832864387968116,0.05913008826460334,0.003874848703199904,0.007508630483686502,0.00020236563255388246,1.4091558719204853,0.3225218332233384,0.07063921034962785,0.0012082562848827589,0.002697588010716157,0.00014544637266369748,5.639264585198872e-07,3.1834260087035267,-0.9083063557899362,-0.8177765775686248,-1.041482465687294,-1.5286158221523043,-0.7841645119032155,0.12689917352674174,1.0424346108030864,-1.4980172574478343,-1.3983385629325549,-1.5250196655881951,-0.26751028747724703,-0.8536467621307238,1.8532602487815903,-0.7921523782042967,-0.791520787259178,-0.6811017497772143,0.3498567045864037,-0.7846977898638405,-1.1495650272900038,-1.4042111456702828,0.26000038169221645,-0.2884032594029102,0.4301281949307088,-0.8751928103019941,-0.4151746392229005,14.66271863111294,0.17381931916332938,112.5751972884277,0.14021113491387388,1,11.0,1,Calling
4,-7.183302321541327,6.081951818686175,-0.93274137584924,-0.011174568105522436,0.28601708288954103,0.13033255299733582,37.72650394225933,-30.550220536862827,45.22453917017172,0.06818824617462646,0.17634530718075245,0.008195423371619782,990.1288953577916,-7.937917202930818,5.5133450878177,-1.7976826127963597,-0.265078711880779,0.004456492687740675,-0.04251479470990638,29.613173233219676,-35.01214937673772,43.03709168417838,-0.019034461047044444,0.038320272961019516,-0.08724283084651553,990.1264302996768,-7.811107161474229,5.655698116817526,-1.3157045878983105,-0.110087613527178,0.14385939554844007,0.0012402640565044153,35.55493335181326,-31.664106206440373,44.70153262647251,0.028844784058693382,0.11573780477021615,-0.01831083764205576,990.1276657556708,0.1976169870979144,0.1288989577481308,0.3124923240276247,0.08210831066089347,0.09396593705707444,0.040606967836421634,2.322060664356756,1.2761432965810782,0.4961786776299738,0.028154703559838637,0.04990994857212129,0.02463389168166296,0.0006727346138982067,-7.911132249504106,5.6406430529026,-1.2760632310842257,-0.10098315542495996,0.16416867287371467,-0.0033532114237409703,36.40173670146473,-31.09001004017136,44.77193016802005,0.03377833859719423,0.14420754359952512,-0.009991385204087823,990.1278272102124,0.03905247358965728,0.016614941308554402,0.09765145257618604,0.006741774679585793,0.008829597327014075,0.0016489258368681814,5.391965728952938,1.6285417134088216,0.2461932801346295,0.0007926873325423907,0.0024910029664717928,0.0006068286193839037,4.525718607367692e-07,2.1063800005787705,2.4744141220113622,-1.4697885326416469,-1.2636342891354446,-1.4455889592039075,2.1091449034276444,-0.058298524108432385,0.2669397180010793,2.3515649124154128,-1.3737263666694646,-1.5491335247972378,0.4021731379885685,-0.8521005247598441,1.7827424639092266,1.6318161662519373,-0.2177637495954816,-0.29371286715084066,-0.20849463140027494,1.5954725874457119,-1.0249114847330634,-1.2083761852771076,-1.5367380781309763,-0.1977857008463892,-0.3558132449712809,-1.0901965504285278,-0.3552872737345061,14.782509866190065,0.2807204499476835,111.92057218472617,0.17002384009436522,1,11.0,1,Calling
5,-6.069727578660142,6.817631745478232,-0.9807678122247772,-0.01957067935178995,0.3623117429087948,0.2890018902787343,37.59747044716485,-30.63979623144124,45.22453917017172,0.06818824617462646,0.18707797218468708,0.008195423371619782,990.1310793399176,-7.937917202930818,5.5133450878177,-1.8010984930604057,-0.36087045731215467,0.03058244380074845,-0.04251479470990638,22.68857444994921,-37.58438580116607,39.130868487617946,-0.06284921537736482,0.06092874222410024,-0.1559882414201601,990.1264302996768,-7.552527957697443,5.818682745379316,-1.477795463912939,-0.17031271211548624,0.20694983624939467,0.04589334208210153,33.22358593745982,-32.840871156411865,44.01066283214672,0.020417908366545542,0.1421954299375363,-0.0412992639942931,990.1282795549832,0.5308797927772038,0.3659992402615538,0.2876647645667705,0.09896401940844407,0.09092924288181158,0.09898492367913617,4.270913934859451,2.1914848981510042,1.6310260782551396,0.04083209040497948,0.03886053184411278,0.04808359270886719,0.0010362424962724352,-7.825833590010109,5.6406430529026,-1.5519194092475648,-0.1681282282360858,0.21997612804341632,-0.001339350153839227,34.77539725184711,-31.928755711479177,44.77193016802005,0.03377833859719423,0.15582977839501694,-0.03025847691805492,990.1280203497375,0.2818333543791668,0.13395544387203456,0.08275101677325547,0.009793877137474895,0.008268127211059479,0.009798015115764409,18.24070583897665,4.802606058823918,2.6602460679483406,0.0016672596068404175,0.0015101409352073036,0.002312031887792226,1.0737985110809276e-06,0.7617352854788026,0.6618070346305339,-1.3514107867759906,-1.0481991454751864,-0.7784152162901457,0.01296429679733846,-0.21103878498858286,-0.7349027701364781,1.4034234415596325,-0.7807933095911421,-0.36961601759161455,-0.39254561340622107,0.5111177208355149,1.3907183512642776,1.3749119139149593,0.4048483150408221,-0.20517429013201527,-0.2598259806550762,1.1641488608421962,-0.9665846699362104,-0.8036307056570635,-1.586271765966028,-0.6968256623580664,-1.0225333577284952,-0.8858647918266983,0.7730227993594453,14.849006166989698,0.4473314983216817,110.07511992601843,0.22712707115760025,1,11.0,1,Calling
6,-4.5931126811479,7.626287073739022,-1.0900018558490527,-0.07024095501569877,0.3877063823949116,0.36482709392302815,36.886313815816216,-30.94603548228796,45.22453917017172,0.06818824617462646,0.18782022950621624,0.0051035164234048795,990.1349693023272,-7.937917202930818,5.5133450878177,-1.8010984930604057,-0.4073016153864873,0.12333396384823765,-0.04251479470990638,14.133321840163806,-39.13313164584239,32.9391117925351,-0.0847572779545127,0.10637678818028702,-0.21249303449365725,990.1275381605664,-7.019185537677331,6.146163946668385,-1.5406282772332502,-0.2407271691822335,0.2694705548859627,0.11489946158555985,29.360154775906267,-34.39826637645221,42.22111958409779,-0.0016545862474625086,0.16429392107591273,-0.08178577765928033,990.1294049734556,1.0329885524479157,0.6785324329279971,0.22071469074234,0.10678387428632513,0.08051615028891576,0.1489511810962115,6.92866606686716,2.850452360849815,3.6725749441491375,0.055503112565051485,0.018625599751821303,0.07223752766075625,0.0019419565002129781,-7.476056414316982,5.850553112001793,-1.5811011057899331,-0.2286664210622105,0.2561635609131557,0.06679262793458382,31.741663925988263,-33.85415425861501,44.023482329212634,-0.0004897979342485914,0.1682564896659946,-0.05597953068392292,990.128465203292,1.0670653494884403,0.4604062625351867,0.04871497470948678,0.011402795807597694,0.00648285045734727,0.0221864543499564,48.006413466156424,8.125078661474284,13.487806720392046,0.0030805955044087762,0.00034691296611504593,0.005218260402538525,3.7711950487194395e-06,-0.3911038994403544,-0.7134101239986359,-1.166530209550123,-1.2665274075698714,-1.1980886673167757,-1.3667410082563711,-0.7195763045985046,-1.4030624150447122,0.01156312046476371,-1.5345753506789184,0.8003288486189644,-1.0457850539250049,0.5478297400036589,0.9657764042395772,0.8273619297543002,0.4151792528904956,-0.13361955577342127,0.05942948557520824,0.4582196499085398,-0.7543635706173386,-0.30360926469261235,-1.1340380459668862,-0.16774043432570065,-0.9975976549334016,-0.5798848446832559,1.2481349461433346,14.705977761578973,0.6473832102495617,105.97954073645629,0.2966142493391869,1,11.0,1,Calling
7,-3.1150021909499377,8.271164002350918,-0.2547389696508044,-0.13975034774506806,0.3877063823949116,0.3775198983931092,35.646417958409124,-31.423860383197702,45.21933942483601,0.06669863688934742,0.18782022950621624,-0.01786431284072044,990.1427336417148,-7.903115980877571,5.513683816931142,-1.8010984930604057,-0.4237800037298049,0.20182215142575874,-0.040775390900458834,5.9227253373795845,-39.358741154303225,25.64627261992002,-0.0847572779545127,0.14480638625287512,-0.21249303449365725,990.1275381605664,-6.187725792274495,6.63615735649342,-1.4174451073728702,-0.30374469655421804,0.3097826615052538,0.196368656781318,23.991454244980662,-36.03289785039463,38.99004188506221,-0.028610523826761363,0.16919471020174998,-0.12173891900446035,990.131594751616,1.5426576398697114,0.9219395332918532,0.43356956983881706,0.09778404985509667,0.06493323439404508,0.1562424067964178,9.479590637433782,2.840866182093951,6.142533902915987,0.050843431138162934,0.014010697773983794,0.07277191744333714,0.0044136259862718455,-6.6394887533906815,6.461374670782763,-1.5811011057899331,-0.3117487267863168,0.3281602200911202,0.22137240179160536,26.149516696627305,-36.4932625878153,41.22255791741257,-0.047264169366751006,0.1728481384311379,-0.1182916836803054,990.1298663263243,2.3797925938483884,0.8499725030463996,0.1879825718902169,0.009561720406064029,0.004216324928872001,0.0244116896815373,89.86263865332226,8.070520664565063,37.73072274847232,0.002585054489901116,0.00019629965211391448,0.005295751968379876,1.948009434669413e-05,-1.0736109539992758,-1.3176565894464758,0.41814869328561466,-1.4882373404195248,-1.5046269224033608,-1.558965810930821,-1.1707254856342797,-1.4604398875335325,-0.7953620007922355,-1.1851039679943065,-1.2851719134744408,-1.6330439464602953,0.1019585347080052,0.5585054617701827,0.3442289413283154,1.2415165662641532,0.22405057393921327,-0.29043537001495884,-0.22025389221542813,-0.4406986078328276,0.2624990381635636,-0.7383290550052077,0.5600328967649348,-0.32930066890796883,0.051868191344595097,1.1320658073751175,14.241328256140784,0.8183388149601594,99.0143939804375,0.34334883816858563,1,11.0,1,Calling
8,-1.8904279043484264,8.589094758252502,0.8999885398270513,-0.1949138242804837,0.3877063823949116,0.3775198983931092,33.35908824182496,-32.858618571479745,44.65101278638421,0.030075655736734288,0.18782022950621624,-0.03567878289493154,990.1524441699576,-7.685891865505482,5.6935294480581975,-1.8010984930604057,-0.43673263013078906,0.2324426704773143,0.016290120625554384,-0.4688510316014631,-39.358741154303225,17.713777551930907,-0.0847572779545127,0.1329694919570581,-0.21249303449365725,990.1275381605664,-5.10686545120545,7.215493270943482,-1.0348166422195135,-0.3570376777729456,0.3332315568404976,0.26753152807082203,17.490146237836544,-37.343305169771966,34.246722561015496,-0.05178462270164917,0.16498689469180772,-0.15666341051927996,990.1355892204483,1.889207921323684,0.9828802750823268,0.8381765157980465,0.07851012082237775,0.0454494620850259,0.11666582661833134,10.978345913983016,2.055636618176624,8.489788386752219,0.03147387447146041,0.017390168736196726,0.06022277141757185,0.007500308253081098,-5.267722254832663,7.279342514814358,-1.3677795754503967,-0.3959380746283901,0.3425531995713127,0.3225897849304534,18.026628689455933,-38.18925683284522,35.92218016699239,-0.06474151989445191,0.16649421629936095,-0.19825201805147474,990.132377283068,3.569106569992156,0.9660536351459101,0.7025398716353529,0.006163839071544354,0.0020656536038182066,0.013610915100538558,120.52407900706758,4.225641905988628,72.07650685183287,0.0009906047742452473,0.00030241796867339397,0.0036267821972131094,5.6254623891236423e-05,-1.3461781737931635,-1.4319959330588212,-0.5381537081820449,-0.9245466631063142,-0.4700256654475887,-0.6523595199091119,-1.3643440476318016,-0.6480455861575409,-1.1383311282368012,0.1859183137513556,-1.4022065486753654,-0.9787633895772244,-0.6502742128429269,0.19247846573374344,-0.10047709897511996,0.876264581852228,0.7483099522502836,-0.7707533897632463,-0.9054410035872402,-0.1107043470137054,0.8624255946623088,-0.4330478630777757,1.1761754152222996,-0.2050827681980028,0.7666110382644048,0.7982603050089982,13.509621276682315,0.9578007626842654,89.09892800988804,0.3768428381242089,1,11.0,1,Calling
9,-1.0310152031577775,8.617215151933818,2.1806692297039465,-0.27253301674462216,0.3877063823949116,0.3775198983931092,29.056278634098557,-35.23954303152679,42.76002945882825,-0.02165174615480476,0.18782022950621624,-0.09516337733348516,990.1599996192606,-7.102566856326598,6.142655099788081,-1.8010984930604057,-0.44570249252871097,0.29253497415009216,0.1461466978235405,-4.570253730087075,-39.358741154303225,9.622970260806577,-0.0847572779545127,0.13121821268212935,-0.21249303449365725,990.1290917344412,-3.892307793067795,7.761233495787202,-0.3654613521329484,-0.3987406082521172,0.3458788226774465,0.3084313184078521,10.581100902520447,-37.86921916319791,28.109652688367056,-0.06573622683729675,0.16159351978120284,-0.1795637488607632,990.1413666164402,1.9398160946659968,0.8217197539654421,1.2535764405090766,0.04782840184209111,0.026547296670057046,0.0607172975233936,10.761565854474554,1.2902491559586922,10.261444420799153,0.013477734361365864,0.0205085834396443,0.034218461583953634,0.010263274855399662,-3.768060265125156,8.009121900384116,-0.6765717522374668,-0.41600077354026377,0.3425531995713127,0.3225897849304534,9.493806258030492,-38.18925683284522,29.018452770218293,-0.0672508305392655,0.16649421629936095,-0.19897239401145397,990.1392397280133,3.7628864811252383,0.6752233540570264,1.5714538921994066,0.002287556022768544,0.0007047589604880219,0.0036865902185442977,115.81129964019264,1.6647428844521168,105.29724160114999,0.00018164932351554208,0.0004206019947008525,0.001170903113172511,0.00010533481075747894,-1.3274233606959136,-1.0900028471763241,-1.02625690117149,0.6414886433627207,-1.0903375438197684,0.040809130853472375,-1.3074734382692952,-0.9697135471875148,-1.2320970978877182,2.7661744001832664,-1.6422201587519398,0.02445153938318212,-1.2284844222483686,-0.12802315379682472,-0.5746066099009182,0.5301406659116732,1.3381393632461087,0.10001510289717773,-0.8847172636170454,0.20571087403534605,0.5589602878260548,-0.2149188998623238,1.577412010782765,-0.1163612292864275,1.1192475545381255,0.4334715631539756,12.807081010408876,1.0530507493374155,77.74049510821806,0.4068934954792629,1,11.0,1,Calling
