Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,LiAx,LiAy,LiAz,P,Value,Type,GroupType
0.0,0.038477987000000005,-0.15644118,9.768872,0.0007330172811634839,0.002553324215114117,0.000625062151812017,2.964054822921753,25.67453765869141,-14.456216812133787,-0.5456686615943909,3.070448398590088,-0.3978204727172852,989.89306640625,0,0.0,0
0.04,0.057552785,-0.15644011,9.771235,0.003195946104824543,0.0019365510670468207,-0.00024121763999573886,2.8486454486846924,26.14607238769531,-14.696977615356445,-0.5731014609336853,3.083525419235229,-0.424290657043457,989.7493286132812,0,0.0,0
0.08,0.04071659,-0.15405414,9.773591999999999,0.000932689115870744,-0.0004603611305356025,2.528168261051178e-05,2.871742486953736,25.58805084228516,-14.359949111938475,-0.5478628277778625,3.0582304000854488,-0.4222774505615233,989.7670288085938,0,0.0,0
0.12,0.047839463,-0.1516698,9.778322,0.0005337177426554263,-6.096886500017719e-05,2.5496963644400242e-05,2.8401942253112797,25.87486267089844,-14.833772659301758,-0.5560483932495117,3.051621913909912,-0.4201526641845703,989.7997436523438,0,0.0,0
0.16,0.045402585999999995,-0.16120175,9.7830515,-0.0002666207146830857,-0.0009909484069794416,0.00042879703687503934,2.8991382122039795,25.61456298828125,-15.751436233520508,-0.5495417714118958,3.054513692855835,-0.4180030822753906,989.8120727539062,0,0.0,0
0.2,0.04296577,-0.16120055,9.761744,-0.0002661683247424662,-0.0007247059256769718,-0.0005031146574765444,2.9230763912200928,25.32038116455078,-14.891084671020508,-0.5289438962936401,3.0383267402648926,-0.3921985626220703,989.79443359375,0,0.0,0
0.24,0.040528953,-0.15881613,9.768841,5.994806997478008e-07,-0.0005916213849559426,0.0001628687314223498,2.8613643646240234,25.789566040039066,-15.21696662902832,-0.5372045040130615,3.036205053329468,-0.4042091369628906,989.8270263671876,0,0.0,0
0.28,0.042871952000000005,-0.14928189,9.775938,-0.0002652641269378364,-0.00032537890365347266,-0.0003695691702887416,3.27626633644104,25.38775634765625,-15.026437759399414,-0.5357531309127808,3.0215039253234863,-0.3963460922241211,989.8168334960938,0,0.0,0
0.32,0.04760486,-0.15404728,9.764097999999999,0.0002678196760825813,0.00034033739939332014,-0.00023621751461178067,2.881853580474853,25.96664810180664,-14.999532699584961,-0.539886474609375,3.0180852413177486,-0.3857965469360352,989.8117065429688,0,0.0,0
0.36,0.03560844,-0.1468963,9.778296000000001,0.0004014298901893199,0.00060657988069579,0.0005629239021800458,3.044031858444214,25.2230224609375,-15.057992935180664,-0.5238946080207825,3.0066230297088623,-0.3978633880615233,989.8114624023438,0,0.0,0
0.4,0.045121133,-0.14689520000000003,9.766456,0.0005350399878807366,-0.0008582309237681329,-0.00023582990979775786,3.067702293395996,25.508960723876953,-15.694250106811525,-0.5367642641067505,3.00923752784729,-0.3956775665283203,989.828857421875,0,0.0,0
0.44,0.04985404,-0.14927727,9.761718,0.0002691762638278305,-0.0007251463830471039,3.0679715564474463e-05,2.828294277191162,26.074913024902344,-15.613489151000975,-0.5399395227432251,3.0070905685424805,-0.38875484466552734,989.8339233398438,0,0.0,0
0.48,0.037857592,-0.16357577,9.759346,0.00026962830452248454,-0.00032574596116319304,-0.00036860036198049773,2.5462470054626465,26.17931365966797,-15.19120979309082,-0.5244783163070679,2.9954936504364014,-0.3866252899169922,989.7908325195312,0,0.0,0
0.52,0.044980407,-0.15404159,9.775912,0.00040323851862922316,7.365446072071791e-05,3.1067291274666786e-05,2.7199203968048096,25.70984649658203,-15.267488479614258,-0.5326069593429565,2.983558654785156,-0.39858531951904297,989.816162109375,0,0.0,0
0.56,0.04254359,-0.15642366,9.768806,4.216737579554319e-06,-0.0005922086420468986,-0.00023505487479269502,2.5022246837615967,25.82221221923828,-15.471475601196287,-0.5168076753616333,2.97670841217041,-0.38223934173583984,989.7933349609376,0,0.0,0
0.6,0.04488662,-0.15165594,9.761700999999999,0.0006704587140120566,7.350770465563983e-05,0.0002977707190439105,2.711905241012573,26.17668914794922,-15.678495407104492,-0.5345472693443298,2.960057258605957,-0.3847599029541016,989.8236694335938,0,0.0,0
0.64,0.037669957000000004,-0.1659545,9.75933,0.0005377528141252698,-0.00019288156181573868,-0.000634141149930656,3.122485637664795,24.770034790039066,-15.58247184753418,-0.5333837270736694,2.986417531967163,-0.37312984466552734,989.8184814453124,0,0.0,0
0.68,0.049572557,-0.15165368,9.780629,0.0013371524401009085,0.000605992681812495,-0.00010131558519788086,3.093163013458252,25.21625518798828,-14.911203384399414,-0.5369004011154175,2.9460353851318364,-0.3946361541748047,989.8156127929688,0,0.0,0
0.72,0.04713577,-0.15641907,9.782992,0.000938130950089544,0.0003396033425815404,-0.00023427966516464951,2.871199607849121,25.956336975097656,-14.458398818969727,-0.5306112766265869,2.9531397819519043,-0.3971452713012695,989.8080444335938,0,0.0,0
0.76,0.044698954000000006,-0.15641788,9.771152,0.0008054251666180791,-0.000858891464304179,0.0001653878134675324,3.3305063247680664,25.017120361328125,-15.01310920715332,-0.5100852847099304,2.945897340774536,-0.371246337890625,989.8255004882812,0,0.0,0
0.8,0.044652015,-0.14926696,9.768781,0.000273245561402291,-6.001726433169097e-05,0.00016558164497837424,2.781090259552002,25.608943939208984,-15.040060043334961,-0.5325671434402466,2.933485984802246,-0.3689050674438477,989.81787109375,0,0.0,0
