Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Static Dynamic,502,DT,0.79,0.79,0.8,0.79,0.06,1,1.06
Static Dynamic,502,KNN3,0.88,0.88,0.89,0.88,0.01,1,1.01
Static Dynamic,502,KNN5,0.87,0.87,0.88,0.87,0.01,1,1.01
Static Dynamic,502,ETC100,0.95,0.95,0.95,0.95,0.67,1,1.67
Static Dynamic,502,ETC50,0.95,0.95,0.95,0.95,0.34,1,1.34
Static Dynamic,502,ETC25,0.95,0.95,0.95,0.95,0.17,1,1.17
Static Dynamic,502,ETC10,0.95,0.95,0.95,0.95,0.07,1,1.07
Static Dynamic,502,RFC100,0.95,0.95,0.95,0.95,2.64,1,3.64
Static Dynamic,502,RFC50,0.95,0.95,0.95,0.95,1.3,1,2.3
Static Dynamic,502,RFC25,0.95,0.95,0.95,0.95,0.65,1,1.65
Static Dynamic,502,RFC10,0.94,0.94,0.94,0.94,0.27,1,1.27
