Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Static,502,DT,1.0,1.0,1.0,1.0,0.02,1,1.02
Static,502,KNN3,1.0,1.0,1.0,1.0,0.01,1,1.01
Static,502,KNN5,1.0,1.0,1.0,1.0,0.01,1,1.01
Static,502,ETC100,1.0,1.0,1.0,1.0,0.15,1,1.15
Static,502,ETC50,1.0,1.0,1.0,1.0,0.07,1,1.07
Static,502,ETC25,1.0,1.0,1.0,1.0,0.04,1,1.04
Static,502,ETC10,1.0,1.0,1.0,1.0,0.02,1,1.02
Static,502,RFC100,1.0,1.0,1.0,1.0,0.23,1,1.23
Static,502,RFC50,1.0,1.0,1.0,1.0,0.12,1,1.12
Static,502,RFC25,1.0,1.0,1.0,1.0,0.06,1,1.06
Static,502,RFC10,1.0,1.0,1.0,1.0,0.03,1,1.03
