Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Dynamic,502,DT,0.67,0.27,0.39,0.28,0.06,1,1.06
Dynamic,502,KNN3,0.84,0.74,0.79,0.76,0.01,1,1.01
Dynamic,502,KNN5,0.83,0.7,0.78,0.73,0.01,1,1.01
Dynamic,502,ETC100,0.94,0.9,0.95,0.92,0.42,1,1.42
Dynamic,502,ETC50,0.94,0.9,0.94,0.92,0.21,1,1.21
Dynamic,502,ETC25,0.94,0.89,0.94,0.92,0.11,1,1.11
Dynamic,502,ETC10,0.92,0.87,0.91,0.89,0.05,1,1.05
Dynamic,502,RFC100,0.93,0.86,0.94,0.9,1.38,1,2.38
Dynamic,502,RFC50,0.92,0.86,0.93,0.89,0.7,1,1.7
Dynamic,502,RFC25,0.92,0.86,0.92,0.89,0.34,1,1.34
Dynamic,502,RFC10,0.91,0.85,0.9,0.88,0.14,1,1.14
