Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Total,502,DT,0.61,0.33,0.35,0.32,0.14,1,1.14
Total,502,KNN3,0.82,0.71,0.78,0.74,0.02,1,1.02
Total,502,KNN5,0.82,0.68,0.81,0.73,0.02,1,1.02
Total,502,ETC100,0.91,0.85,0.94,0.89,0.88,1,1.88
Total,502,ETC50,0.91,0.85,0.93,0.89,0.45,1,1.45
Total,502,ETC25,0.91,0.84,0.93,0.88,0.22,1,1.22
Total,502,ETC10,0.89,0.83,0.89,0.86,0.1,1,1.1
Total,502,RFC100,0.89,0.82,0.93,0.86,3.35,1,4.35
Total,502,RFC50,0.89,0.82,0.93,0.86,1.67,1,2.67
Total,502,RFC25,0.88,0.8,0.91,0.85,0.84,1,1.84
Total,502,RFC10,0.88,0.79,0.88,0.83,0.35,1,1.35
