Name,Feature,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Moving,Mean,802,KNN3,91.94,86.9,86.96,86.93,0.025612354278564453,0.4,0.43
Moving,Mean,802,KNN7,90.57,83.38,85.4,84.36,0.02566218376159668,0.4,0.43
Moving,Mean,802,ETC100,98.26,96.17,98.65,97.38,0.788618803024292,0.4,1.19
Moving,Mean,802,ETC50,98.18,95.9,98.67,97.25,0.4393613338470459,0.4,0.84
Moving,Mean,802,ETC25,97.91,95.58,98.16,96.83,0.2101733684539795,0.4,0.61
Moving,Mean,802,ETC10,97.2,95.03,96.33,95.66,0.10269403457641603,0.4,0.5
Moving,Mean,802,RFC100,96.41,92.07,96.96,94.39,3.5176706314086914,0.4,3.92
Moving,Mean,802,RFC50,96.09,91.51,96.46,93.86,1.7170870304107666,0.4,2.12
Moving,Mean,802,RFC25,96.01,91.64,95.75,93.61,0.8585250377655029,0.4,1.26
Moving,Mean,802,RFC10,95.22,90.7,94.02,92.29,0.3578805923461914,0.4,0.76
Moving,StandardDeviation,802,DT,72.33,53.88,54.47,54.16,0.3726272583007813,0.4,0.77
Moving,StandardDeviation,802,KNN3,70.53,43.94,51.29,46.39,0.025815486907958984,0.4,0.43
Moving,StandardDeviation,802,KNN7,72.23,39.56,53.24,43.01,0.02678251266479492,0.4,0.43
Moving,StandardDeviation,802,ETC100,81.53,55.05,86.4,62.99,1.0318551063537598,0.4,1.43
Moving,StandardDeviation,802,ETC50,81.58,55.72,84.37,63.48,0.5269086360931396,0.4,0.93
Moving,StandardDeviation,802,ETC25,81.63,57.19,80.76,64.23,0.26735615730285645,0.4,0.67
Moving,StandardDeviation,802,ETC10,79.68,57.16,70.8,62.06,0.12180328369140625,0.4,0.52
Moving,StandardDeviation,802,RFC100,81.24,54.81,82.65,62.08,3.711054801940918,0.4,4.11
Moving,StandardDeviation,802,RFC50,81.32,55.6,81.67,62.74,1.86159348487854,0.4,2.26
Moving,StandardDeviation,802,RFC25,81.13,56.37,78.61,62.97,0.9580631256103516,0.4,1.36
Moving,StandardDeviation,802,RFC10,79.62,57.44,70.42,62.21,0.3701293468475342,0.4,0.77
Non-Moving,Max,802,DT,100.0,100.0,100.0,100.0,0.028140783309936523,0.4,0.43
