Name,Feature,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Moving,Max,401,DT,89.63,84.44,82.1,83.21,0.18563413619995117,0.6,0.79
Moving,Max,401,KNN3,88.88,81.76,82.29,81.93,0.015810251235961914,0.6,0.62
Moving,Max,401,KNN7,87.46,77.76,81.12,79.07,0.01591658592224121,0.6,0.62
Moving,Max,401,ETC100,96.67,92.74,96.57,94.57,0.5356686115264893,0.6,1.14
Moving,Max,401,ETC50,96.54,92.76,96.41,94.51,0.27347445487976074,0.6,0.87
Moving,Max,401,ETC25,96.04,92.27,95.66,93.91,0.13818883895874023,0.6,0.74
Moving,Max,401,ETC10,94.88,91.11,92.93,91.99,0.061545610427856445,0.6,0.66
Moving,Max,401,RFC100,93.63,86.92,92.5,89.51,2.0213804244995117,0.6,2.62
Moving,Max,401,RFC50,93.34,85.81,92.59,88.93,1.0211975574493408,0.6,1.62
Moving,Max,401,RFC25,93.09,85.63,91.74,88.47,0.5164554119110107,0.6,1.12
Moving,Max,401,RFC10,91.75,84.08,88.68,86.25,0.21881842613220215,0.6,0.82
Moving,Min,401,DT,89.38,81.93,82.51,82.15,0.1889035701751709,0.6,0.79
Moving,Min,401,KNN3,88.17,79.72,81.08,80.32,0.01677727699279785,0.6,0.62
Moving,Min,401,KNN7,87.46,76.81,81.12,78.76,0.015769481658935547,0.6,0.62
Moving,Min,401,ETC100,96.54,92.69,96.62,94.56,0.5503308773040771,0.6,1.15
Moving,Min,401,ETC50,96.25,92.32,95.95,94.04,0.26936793327331543,0.6,0.87
Moving,Min,401,ETC25,95.59,91.25,94.72,92.91,0.14048385620117188,0.6,0.74
Moving,Min,401,ETC10,95.13,90.98,93.28,92.09,0.06286740303039551,0.6,0.66
Moving,Min,401,RFC100,93.59,85.19,94.26,89.27,2.0784032344818115,0.6,2.68
Moving,Min,401,RFC50,93.92,86.21,94.02,89.79,1.0395946502685547,0.6,1.64
Moving,Min,401,RFC25,93.09,84.87,92.54,88.37,0.530250072479248,0.6,1.13
Moving,Min,401,RFC10,91.71,84.29,88.7,86.37,0.21981596946716309,0.6,0.82
Moving,Mean,401,DT,89.25,82.74,81.56,82.12,0.19384312629699707,0.6,0.79
Moving,Mean,401,KNN3,88.96,81.25,82.57,81.87,0.016286611557006836,0.6,0.62
Moving,Mean,401,KNN7,87.55,77.08,81.11,78.88,0.0165250301361084,0.6,0.62
Moving,Mean,401,ETC100,96.38,92.55,96.46,94.41,0.5316345691680908,0.6,1.13
Moving,Mean,401,ETC50,95.84,91.88,95.2,93.46,0.26850104331970215,0.6,0.87
Moving,Mean,401,ETC25,95.21,90.74,93.79,92.21,0.1389451026916504,0.6,0.74
Moving,Mean,401,ETC10,93.79,89.33,90.61,89.96,0.062168121337890625,0.6,0.66
Moving,Mean,401,RFC100,93.0,85.24,92.28,88.46,2.0738508701324463,0.6,2.67
Moving,Mean,401,RFC50,92.29,84.07,91.35,87.39,1.0576372146606445,0.6,1.66
Moving,Mean,401,RFC25,92.34,84.12,91.23,87.38,0.5350544452667236,0.6,1.14
Moving,Mean,401,RFC10,91.0,82.55,87.79,84.95,0.21856927871704102,0.6,0.82
Moving,StandardDeviation,401,DT,66.06,44.32,44.29,44.29,0.23778533935546875,0.6,0.84
Moving,StandardDeviation,401,KNN3,67.97,39.18,47.1,40.97,0.0162045955657959,0.6,0.62
Moving,StandardDeviation,401,KNN7,69.97,34.4,46.93,36.6,0.015964508056640625,0.6,0.62
Moving,StandardDeviation,401,ETC100,77.09,43.59,76.88,48.96,0.6547231674194336,0.6,1.25
Moving,StandardDeviation,401,ETC50,77.09,44.48,74.07,49.92,0.3296077251434326,0.6,0.93
Moving,StandardDeviation,401,ETC25,76.51,44.49,69.28,49.44,0.1693577766418457,0.6,0.77
Moving,StandardDeviation,401,ETC10,74.84,46.82,59.46,50.84,0.0735158920288086,0.6,0.67
Moving,StandardDeviation,401,RFC100,77.18,45.36,72.41,50.8,2.3140790462493896,0.6,2.91
Moving,StandardDeviation,401,RFC50,76.93,45.04,70.06,49.93,1.161123275756836,0.6,1.76
Moving,StandardDeviation,401,RFC25,76.38,45.77,66.38,50.8,0.5828037261962891,0.6,1.18
Moving,StandardDeviation,401,RFC10,74.26,47.72,57.82,51.2,0.2332744598388672,0.6,0.83
