Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Holding Styles,401,DT,1.0,1.0,1.0,1.0,0.03,0.6,0.63
Holding Styles,401,KNN3,1.0,1.0,1.0,1.0,0.02,0.6,0.62
Holding Styles,401,KNN5,1.0,1.0,1.0,1.0,0.01,0.6,0.61
Holding Styles,401,ETC100,1.0,1.0,1.0,1.0,0.19,0.6,0.79
Holding Styles,401,ETC50,1.0,1.0,1.0,1.0,0.1,0.6,0.7
Holding Styles,401,ETC25,1.0,1.0,1.0,1.0,0.05,0.6,0.65
Holding Styles,401,ETC10,1.0,1.0,1.0,1.0,0.03,0.6,0.63
Holding Styles,401,RFC100,1.0,1.0,1.0,1.0,0.37,0.6,0.97
Holding Styles,401,RFC50,1.0,1.0,1.0,1.0,0.19,0.6,0.79
Holding Styles,401,RFC25,1.0,1.0,1.0,1.0,0.1,0.6,0.7
Holding Styles,401,RFC10,1.0,1.0,1.0,1.0,0.04,0.6,0.64
