Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Total,401,DT,0.65,0.35,0.49,0.36,0.25,0.6,0.85
Total,401,KNN3,0.85,0.71,0.81,0.75,0.06,0.6,0.66
Total,401,KNN5,0.84,0.68,0.8,0.73,0.04,0.6,0.64
Total,401,ETC100,0.93,0.85,0.95,0.89,1.54,0.6,2.14
Total,401,ETC50,0.93,0.85,0.95,0.89,0.73,0.6,1.33
Total,401,ETC25,0.93,0.84,0.94,0.88,0.37,0.6,0.97
Total,401,ETC10,0.92,0.83,0.92,0.87,0.16,0.6,0.76
Total,401,RFC100,0.91,0.81,0.94,0.87,6.43,0.6,7.03
Total,401,RFC50,0.91,0.81,0.94,0.86,3.19,0.6,3.79
Total,401,RFC25,0.91,0.81,0.93,0.86,1.61,0.6,2.21
Total,401,RFC10,0.9,0.81,0.92,0.85,0.68,0.6,1.28
