Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,LiAx,LiAy,LiAz,P,Value,Type,GroupType,Activities
0.0,-0.73759115,3.5289247,8.930927,-7.179018575698137e-05,0.00020950828911736608,9.246886475011706e-05,-11.210870742797852,16.41581153869629,-37.00947570800781,0.009716980159282684,0.015742257237434387,0.04144287109375,988.5877075195312,0,13.0,1,1
0.04,-0.6061199,4.0389457,8.339128500000001,-7.179018575698137e-05,0.00020950828911736608,9.246886475011706e-05,-11.210870742797852,16.41581153869629,-37.00947570800781,-0.04463028907775879,-0.4874978065490722,1.1781702041625977,988.5877075195312,0,13.0,1,1
0.08,0.029620677,4.3583045,8.133184,-0.3792460262775421,0.5615281462669373,0.41335973143577576,-14.656177520751953,-7.349588394165039,-43.94115447998047,-1.2339651584625244,-1.290177822113037,1.119367599487305,988.5135498046876,0,13.0,1,1
0.12,-0.6036767,4.0913763,9.039825,-0.5917662978172302,0.3380891978740692,0.3658221960067749,-13.677290916442873,-6.853854179382324,-44.96783447265625,-0.2800557613372803,-1.153641939163208,0.13202667236328125,988.581787109375,0,13.0,1,1
0.16,-1.3015014,3.6743019999999995,6.7886186,-0.26193436980247503,0.4908213913440704,0.009091999381780623,-13.424674034118652,-5.405691623687744,-45.09149932861328,-0.5088765621185303,-0.6987354755401611,1.757610321044922,988.571044921875,0,13.0,1,1
0.2,-1.8296430000000001,3.0069838,5.138681,0.2390055805444717,1.395496487617493,-0.1439065933227539,-9.126542091369627,-6.912155628204347,-45.66567611694336,-0.1331840753555298,-0.03968548774719238,3.8100333213806152,988.555908203125,0,13.0,1,1
0.24,-1.8128872,1.8701589,5.1505194,0.1991911083459854,0.9056085348129272,-0.06614245474338531,-8.904143333435059,-6.9141845703125,-46.39268493652344,0.020180106163024902,0.9338889122009276,3.812879085540772,988.5098876953124,0,13.0,1,1
0.28,-0.9859544,1.9845557,4.146828,-0.30800777673721313,0.07030875235795975,0.1744738221168518,-9.028684616088867,-6.451483726501465,-46.16961669921875,-0.7941396236419678,1.4899002313613892,5.075224876403809,988.4940795898438,0,13.0,1,1
0.32,-0.8660026,1.8368984,5.590426,-0.32132381200790405,-0.1695086508989334,0.5397259593009949,-10.228960990905762,-5.363168716430664,-45.66341781616211,-0.3014820218086243,0.7044303417205809,3.9285058975219727,988.5115966796876,0,13.0,1,1
0.36,0.44836712,1.0337353999999999,5.180892500000001,-0.12117212265729906,-1.3907026052474976,0.7336105108261108,-13.821151733398438,-4.4599876403808585,-45.08573913574219,-1.0894142389297483,2.1845660209655757,3.638649463653565,988.5216674804688,0,13.0,1,1
0.4,-0.15635439999999998,0.49749976,6.842662299999999,0.19735875725746155,-1.474185585975647,0.7968824505805969,-15.970558166503904,-3.5755653381347656,-44.49833679199219,0.5886012315750122,2.0238561630249023,4.0120224952697745,988.5467529296876,0,13.0,1,1
0.44,2.4963603,0.44030297,11.541552000000001,-1.0195708274841309,-1.6018842458724976,0.8191201090812683,-19.42443084716797,-1.0689640045166016,-42.26515197753906,-1.206518530845642,1.2642419338226318,-2.5403709411621094,988.5928344726562,0,13.0,1,1
0.48,1.9250975,0.29254156,11.423183,-1.231690764427185,-2.6531662940979004,1.1783806085586548,-23.26122283935547,2.290679931640625,-40.02288055419922,0.09611105918884276,1.1942917108535769,-1.8957624435424805,988.7066650390624,0,13.0,1,1
0.52,3.514306,1.7391933000000002,11.716711,-0.9440689086914062,-1.615733027458191,1.2987556457519531,-25.428401947021484,5.528043746948242,-38.03073120117188,-0.995593786239624,0.3296966552734375,-2.5266590118408203,988.8136596679688,0,13.0,1,1
0.56,2.8331075,0.50227374,13.376112,-0.575620174407959,-1.1760456562042236,1.5193986892700195,-26.361799240112305,8.129793167114258,-36.42246627807617,0.08730554580688478,-0.4357052445411682,-3.260578155517578,988.7699584960938,0,13.0,1,1
