Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,LiAx,LiAy,LiAz,P,Value,Type,GroupType,Activities
0.0,0.06317145,-0.15933849,9.753157,0.0011787294642999768,0.007201962172985077,0.00031644594855606556,-7.718901634216309,23.546669006347656,-32.92030715942383,-1.811839818954468,-0.6727235913276672,-0.12178516387939453,985.664794921875,0,13.0,1,1
0.04,0.07748294,-0.14742137,9.774458000000001,0.0006073783151805401,0.0017019824590533972,0.00023317284649237988,-7.489030838012695,23.446086883544922,-33.334766387939446,-1.8368011713027956,-0.6758734583854675,-0.16358184814453125,985.6014404296876,0,13.0,1,1
0.08,0.05833572,-0.1545706,9.774455999999999,0.00020817399490624664,0.00010404331260360776,-3.30274342559278e-05,-7.993338108062744,23.658432006835934,-32.88455581665039,-1.794320583343506,-0.6739261150360107,-0.1579141616821289,985.6119384765624,0,13.0,1,1
0.12,0.07503712,-0.15933646,9.779187,0.00020844343816861508,-0.0004286321636755019,-0.0002992279478348792,-7.724714756011963,23.75260925292969,-34.009239196777344,-1.8137556314468384,-0.6677410006523132,-0.17119121551513672,985.647705078125,0,13.0,1,1
0.16,0.065449536,-0.16410229999999998,9.769716,7.555494084954262e-05,-0.0004286758485250175,0.0007661511190235615,-7.958310127258301,24.11261749267578,-32.83954620361328,-1.7998113632202148,-0.6660266518592834,-0.1371164321899414,985.6318359375,0,13.0,1,1
0.2,0.072591305,-0.16171832,9.767344999999999,-0.0001904914970509708,-0.00042871959158219397,0.00010047684190794826,-8.42386531829834,24.51971435546875,-33.099563598632805,-1.8048360347747805,-0.6646921634674072,-0.14092254638671875,985.6234130859376,0,13.0,1,1
0.24,0.07256335,-0.15933438,9.772078,0.00020925165154039857,-2.928948379121721e-05,0.0005000660894438624,-7.777462959289551,22.91246032714844,-33.02814102172852,-1.8005188703536987,-0.6630256772041321,-0.15421295166015625,985.6214599609376,0,13.0,1,1
0.28,0.07970512,-0.16886683,9.764974,-0.0001899526687338948,0.00010382468462921679,-0.0005650818930007517,-7.61289119720459,23.646411895751953,-33.71232223510742,-1.7916805744171145,-0.6471568942070007,-0.13915157318115234,985.6270141601562,0,13.0,1,1
0.32,0.06533772,-0.14503337,9.779175,-5.652528489008546e-05,0.0003700967936310917,-0.0005649665254168212,-7.719987869262695,24.283241271972656,-33.11720657348633,-1.772592067718506,-0.674244225025177,-0.14764785766601562,985.6366577148438,0,13.0,1,1
0.36,0.0772593,-0.16171558,9.760235,0.0007426918018609285,-0.0009615262970328332,0.00023409660207107666,-7.9727110862731925,23.941429138183594,-33.366199493408196,-1.7867474555969238,-0.6580345630645752,-0.13713645935058594,985.65185546875,0,13.0,1,1
