Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,LiAx,LiAy,LiAz,P,Value,Type,GroupType
0.0,0.07270932,-0.15122452,9.755357,0.00020384459639899435,0.004155003000050783,9.455837425775826e-05,2.0712006092071533,19.14944839477539,-14.39872932434082,-0.9853872060775756,0.6495457887649536,0.006901741027832031,990.7745971679688,0,0.0,0
0.04,0.091772676,-0.15122315,9.774289,0.003845468396320939,0.0008268868550658227,0.0005664911586791277,2.155902862548828,19.228574752807614,-14.10847282409668,-0.9915218353271484,0.6478180885314941,-0.021099090576171875,990.7745971679688,0,0.0,0
0.08,0.058258175999999995,-0.15837163,9.748244,0.0014491637703031301,-0.0005047799786552787,0.0006998798344284296,1.768664836883545,19.07677459716797,-14.193887710571287,-0.9532793760299684,0.6637935638427734,0.007906913757324219,990.6078491210938,0,0.0,0
0.12,0.07296574,-0.16314718,9.771951,-1.5035111573524771e-05,0.0012261858209967613,-0.0010309426579624414,2.054160118103028,18.501110076904297,-13.973241806030273,-0.9753298759460448,0.6625089049339294,-0.015529632568359375,990.6078491210938,0,0.0,0
0.16,0.078139365,-0.16077360000000002,9.771987,0.00011866090062540025,-0.0006381127750501037,-0.0003649223654065281,2.250281572341919,18.948246002197266,-14.183599472045898,-0.9681160449981691,0.660427451133728,-0.010466575622558594,990.6310424804688,0,0.0,0
0.2,0.07094818,-0.16077307,9.762514999999999,0.00037785840686410666,-0.000503211806062609,-0.0002322586951777339,2.2970492839813232,18.67616081237793,-14.482820510864258,-0.9626255631446838,0.6481029391288757,-0.01929187774658203,990.627685546875,0,0.0,0
0.24,0.07570636,-0.16077259,9.762513,0.0010418279562145472,-0.0003697583451867104,0.00016643514391034842,1.9138031005859373,17.68480682373047,-13.826868057250975,-0.9513009786605836,0.6470818519592285,-0.004877090454101562,990.6585693359376,0,0.0,0
0.28,0.06373533599999999,-0.1488556,9.757777,0.001441509579308331,-0.0011687397491186855,-0.001031897380016744,2.0165247917175293,18.78203582763672,-14.137849807739258,-0.9476779103279114,0.6402528882026672,-0.01864910125732422,990.665771484375,0,0.0,0
0.32,0.068493605,-0.15838823,9.767242999999999,-5.9402686019893736e-05,-0.0002254220307804644,-0.0006431575166061522,1.4967293739318848,19.559772491455078,-14.411195755004885,-0.9584643840789796,0.6333938837051392,-0.00402069091796875,990.668701171875,0,0.0,0
0.36,0.07325187,-0.15362108,9.7743435,0.00020712088735308495,-0.000758087495341897,-0.00024359486997127533,1.603687763214111,18.81702423095703,-14.307233810424805,-0.9503348469734192,0.6312885880470276,-0.0036144256591796884,990.6329956054688,0,0.0,0
0.4,0.07084042,-0.15600389,9.771974,-0.00019214524945709852,0.00017398434283677489,0.0001559679803904146,1.8139102458953855,18.80321311950684,-14.415803909301758,-0.9423945546150208,0.638390302658081,-0.007946968078613281,990.656005859375,0,0.0,0
0.44,0.06364918,-0.1655364,9.745933,-0.00032488806755281985,4.075907054357231e-05,0.001221409416757524,1.8118460178375244,19.17002868652344,-14.436952590942385,-0.9374069571495056,0.6442304849624634,0.011616706848144531,990.6580200195312,0,0.0,0
0.48,0.068407476,-0.16076937,9.764869000000001,-0.00032488806755281985,4.075907054357231e-05,0.001221409416757524,1.8118460178375244,19.17002868652344,-14.436952590942385,-0.9407194256782532,0.6382966041564941,-0.00713348388671875,990.6580200195312,0,0.0,0
