Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,LiAx,LiAy,LiAz,P,Value,Type,GroupType
0.0,0.06655285,-0.14521354,9.7785425,0.000367,-0.000433,0.001064677,-8.6717415,23.46404,-36.486397,1.0009166999999999,-0.84565604,-0.063960075,0.0,0,0.0,0
0.04,0.054503202,-0.14282784,9.7738,0.000368,0.000366,-0.000133,-8.273007000000002,23.89,-36.418793,1.0087368,-0.8299414,-0.0730772,989.865,0,0.0,0
0.08,0.056792915,-0.16427487,9.778525,-0.000429,0.001164652,-0.000133,-8.419453,23.067804000000002,-35.963196,1.0098803,-0.81806564,-0.06767845,989.95874,0,0.0,0
0.12,0.061472595,-0.15473932,9.78325,-0.000401,0.001274537,3.47e-05,-8.063902,23.400507,-35.65253,1.008061,-0.8120651,-0.07207012,989.95825,0,0.0,0
0.16,0.056592643,-0.14997032,9.778506,0.000532,-5.720000000000001e-05,0.000834,-8.0657215,22.766897,-36.0001,1.0059984,-0.8245764000000001,-0.07164574,989.9684,0,0.0,0
0.2,0.06605211,-0.15711770000000003,9.783233000000001,0.000532,-5.720000000000001e-05,0.000834,-8.0657215,22.766897,-36.0001,0.99534553,-0.80943966,-0.06669903,989.9684,0,0.0,0
0.24,0.061172158,-0.15473196,9.778488000000001,5.64e-07,0.000742,-9.76e-05,-8.460271,23.239866,-35.274117,0.99824005,-0.8172748000000001,-0.061569214000000004,989.9632,0,0.0,0
0.28,0.06107202,-0.16187933,9.761909,0.000401,-0.00019099999999999998,0.00043499999999999995,-8.732505999999999,23.090736,-35.916298,1.0005214,-0.8052236999999999,-0.051548004,989.97833,0,0.0,0
0.32,0.05858195,-0.14757720000000002,9.783204,2.49e-06,-0.00045700000000000005,-9.68e-05,-8.274124,23.41432,-35.54396,0.985157,-0.81869996,-0.08922100000000001,989.95795,0,0.0,0
0.36,0.0728212,-0.14042488,9.7879305,0.00013700000000000002,-0.00019099999999999998,0.0007030000000000001,-8.200778999999999,23.325205,-35.934967,0.9726078000000001,-0.8207937,-0.08860302,989.99585,0,0.0,0
0.4,0.05360186,-0.14995554,9.778450999999999,0.0008029999999999999,-0.000324,0.00057,-7.820607000000001,23.101349,-35.364582,0.9953332,-0.8150326999999999,-0.06943035,989.9351,0,0.0,0
0.44,0.04872191,-0.16186953,9.771339999999999,-0.000394,0.0010071239999999999,-0.000229,-8.265674,23.685534,-35.407166,0.99762285,-0.7943325,-0.059511185,989.9451,0,0.0,0
0.48,0.058181375,-0.15233395,9.768964,6.36e-06,0.000741,0.000837,-8.393013999999999,23.14486,-35.355903999999995,0.9767633,-0.7974274,-0.07807636,989.96277,0,0.0,0
0.52,0.061296284000000006,-0.15473506,9.7785,0.00014,-0.000857,0.001236842,-8.420134,23.33018,-35.36257,0.9864284999999999,-0.79444826,-0.06811619,989.94006,0,0.0,0
