Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,LiAx,LiAy,LiAz,P,Value,Type,GroupType,Activities
0.0,0.08751765,-0.15611982,9.755836500000001,-0.0006593373254872859,0.0017380244098603725,-0.000277864484814927,4.707545757293701,19.931419372558594,-13.234067916870115,-0.005859032273292542,-0.0014889240264892578,0.06984615325927734,990.6300659179688,0,13.0,1,1
0.04,0.0779466,-0.16565272,9.746367,0.0012178515316918492,0.001862838282249868,-2.6377616450190544e-05,1.3593535423278809,16.321895599365234,-12.275960922241213,-0.004757940769195557,-0.005766332149505615,0.06429290771484375,990.5448608398438,0,13.0,1,1
0.08,0.082714975,-0.15373603,9.751101,-0.00011350764543749392,-0.0006671983283013105,-2.628326183184981e-05,1.2118220329284668,16.236282348632812,-12.017263412475586,-0.009236022830009459,-0.010492265224456787,0.05008983612060547,990.5525512695312,0,13.0,1,1
0.12,0.07314399,-0.15373573,9.741631,-0.00011350764543749392,-0.0006671983283013105,-2.628326183184981e-05,1.2118220329284668,16.236282348632812,-12.017263412475586,0.0003568679094314575,-0.010170981287956238,0.07850170135498047,990.5525512695312,0,13.0,1,1
0.16,0.07074264,-0.15611875,9.751097999999999,0.0013513397425413134,0.0003980473557021469,-0.00015939399600028992,1.3830246925354004,16.607837677001953,-12.912210464477539,0.0003026202321052551,-0.01474481821060181,0.05483531951904297,990.56298828125,0,13.0,1,1
0.2,0.08268076,-0.16565159,9.767667,0.00041934425826184446,-0.0005340761272236705,0.00024012700305320323,1.421501874923706,16.590763092041016,-12.224283218383787,-0.009406611323356628,-0.009669184684753418,0.04063987731933594,990.5400390625,0,13.0,1,1
0.24,0.08266935,-0.16803458,9.767667,-0.0003794933727476746,0.00039801164530217653,-0.00015929969958961007,1.4598193168640137,16.047462463378903,-12.660303115844727,-0.009087786078453064,-0.0005291253328323363,0.05483531951904297,990.5830078125,0,13.0,1,1
0.28,0.07787812,-0.15373465,9.753463,-0.0007788572693243622,-0.0005341118667274714,0.00024022127036005253,1.1376354694366455,16.061553955078125,-12.149576187133787,0.010081760585308077,-0.010093867778778076,0.04536724090576172,990.568115234375,0,13.0,1,1
0.32,0.07786667,-0.15611756,9.748727,0.00028651647153310483,-1.4979013940319419e-06,-2.60474334936589e-05,0.9254846572875975,16.548099517822266,-12.761224746704102,0.005392409861087799,-0.009968310594558716,0.05483818054199219,990.5604858398438,0,13.0,1,1
0.36,0.0802452,-0.16326717,9.760562,0.00041978430817835033,0.00013164219853933898,0.0003734735364560038,0.9593968391418456,16.526603698730472,-11.841386795043945,-0.008824035525321959,-0.000456005334854126,0.05483818054199219,990.5529174804688,0,13.0,1,1
0.4,0.08740345,-0.16565022,9.755825999999999,2.4307533749379214e-05,-0.00046086707152426243,-0.00011828294373117387,1.108450412750244,16.613689422607422,-12.177385330200195,-0.008920133113861084,-0.005132824182510376,0.02643394470214844,990.5375366210938,0,13.0,1,1
0.44,0.09217185,-0.15135017,9.767661,-0.00024189821851905435,0.0006043785833753644,-0.000784025527536869,1.4061222076416016,16.049808502197266,-12.57518196105957,-0.01791873574256897,-0.024083182215690613,0.05010509490966797,990.5479125976562,0,13.0,1,1
0.48,0.09455034,-0.16088304,9.755824,-0.00024189821851905435,0.0006043785833753644,-0.000784025527536869,1.5140595436096191,15.676822662353516,-12.646974563598633,-0.013127669692039491,-0.00012226402759552002,0.05957698822021485,990.5479125976562,0,13.0,1,1
0.52,0.08019948,-0.16088274,9.746354,2.4527675122953948e-05,-0.0013930083950981498,-0.001050294260494411,1.1226911544799805,16.258655548095707,-12.774682998657227,0.0062342435121536255,0.004398539662361145,0.05483818054199219,990.5582275390624,0,13.0,1,1
0.56,0.07779819,-0.15849918,9.762922999999999,-0.0002416783099761233,0.00047118490329012275,-0.0006507730577141048,0.9535841941833496,16.7325439453125,-12.930318832397461,-0.003133460879325867,-0.01457943022251129,0.04063606262207031,990.5631103515624,0,13.0,1,1
0.6,0.08017665,-0.1608822,9.767657,0.0004242216236889362,-0.0007272543734870851,0.00041453749872744083,1.1040220260620115,16.715187072753903,-12.644548416137695,-0.012567773461341858,-0.014795318245887756,0.04536724090576172,990.5302734375,0,13.0,1,1
0.64,0.073456794,-0.15850999999999998,9.76533,-0.0001083002280211076,-6.14825839875266e-05,-0.00011804714449681343,1.412071704864502,15.949787139892578,-12.185327529907227,0.0013624951243400574,-0.005199655890464783,0.040637969970703125,990.5579223632812,0,13.0,1,1
0.68,0.08349379999999999,-0.15852168,9.755906,-0.0014397695194929838,-0.0003278163494542241,-0.0005174737889319658,1.2460088729858398,16.426618576049805,-12.495576858520508,0.005259200930595398,-0.004974126815795898,0.06422710418701172,990.5402221679688,0,13.0,1,1
0.72,0.078739345,-0.16090557,9.755908,0.00015119166346266866,0.00020482271793298423,0.0001435026642866433,1.6337904930114746,16.210128784179688,-12.311708450317385,0.010012388229370115,-0.01459309458732605,0.05475521087646485,990.5631103515624,0,13.0,1,1
0.76,0.07876477,-0.17520586,9.760645,0.00015119166346266866,0.00020482271793298423,0.0001435026642866433,1.6337904930114746,16.210128784179688,-12.311708450317385,-0.008834205567836761,0.00914815068244934,0.04054546356201172,990.5631103515624,0,13.0,1,1
0.8,0.093129545,-0.1680567,9.763015,0.00028386065969243646,-0.0008603614987805487,0.0008090827614068985,1.520988702774048,15.946561813354492,-12.43287467956543,-0.02783637493848801,0.004398182034492493,0.03580760955810547,990.5635375976562,0,13.0,1,1
0.84,0.090765,-0.165674,9.758283,-0.0003821740974672138,7.178384839789942e-05,0.00014318813919089737,1.5460443496704102,16.128059387207028,-12.447355270385742,-0.017997466027736664,-0.005168646574020386,0.059474945068359375,990.5811157226562,0,13.0,1,1
0.88,0.07884091,-0.17520776,9.755918,-0.00011610244837356731,7.182356057455763e-05,-0.00038954845513217146,1.3373422622680664,16.14334487915039,-12.41609001159668,0.010466597974300385,0.013849198818206787,0.050004005432128906,990.5331420898438,0,13.0,1,1
0.92,0.08125615,-0.15852538,9.755919,1.681067078607157e-05,0.0003381791757419705,-0.000522811315022409,1.2760357856750488,16.138328552246097,-11.94444465637207,-0.0039807409048080436,0.009046673774719238,0.050002098083496094,990.5709838867188,0,13.0,1,1
0.96,0.07411188,-0.15137622,9.758289,0.00028288195608183736,-6.125499930931255e-05,0.00014287370140664282,1.3087010383605957,16.327190399169922,-12.345449447631836,0.005469851195812225,-0.009814247488975523,0.05947303771972656,990.5585327148438,0,13.0,1,1
1.0,0.08847666,-0.16567647,9.770127,0.0002826376003213227,0.00047141651157289743,0.00027592683909460897,1.635993480682373,15.949230194091795,-12.989641189575195,-0.018539920449256897,-1.195073127746582e-05,0.03106975555419922,990.5731811523438,0,13.0,1,1
1.04,0.08372220400000001,-0.16091058,9.760661,0.0002823926624841988,0.0004714562674053013,0.00014266397920437154,0.9836108684539796,16.444252014160153,-12.379186630249025,-0.004226401448249817,-0.01896706223487854,0.04527187347412109,990.5635375976562,0,13.0,1,1
1.08,0.08135772,-0.15614459,9.767764999999999,0.0006816221284680067,0.0003383379662409425,9.40129393711686e-06,1.5724840164184568,16.20511245727539,-11.840066909790039,-0.004299968481063843,-0.01873029768466949,0.05000782012939453,990.5330810546876,0,13.0,1,1
1.12,0.07899314,-0.16329512,9.774869,0.00028190360171720386,-0.00032741198083385825,0.0005419282242655754,1.4160947799682615,16.32249641418457,-12.515687942504885,0.004837647080421448,-0.013866394758224487,0.02633953094482422,990.5559692382812,0,13.0,1,1
1.16,0.09335795,-0.15376255,9.753566000000001,1.53430228237994e-05,0.001004207064397633,0.00027550742379389703,1.2490527629852295,16.4295654296875,-12.650186538696287,-0.018985487520694733,-0.014172703027725218,0.03579902648925781,990.5608520507812,0,13.0,1,1
1.2,0.08621365,-0.15852979,9.755937,-0.0006506909267045557,0.0004716150579042732,0.0012075082631781695,1.4643850326538086,16.051881790161133,-12.892221450805664,-0.019212841987609863,0.0005213171243667604,0.05000782012939453,990.5761108398438,0,13.0,1,1
1.24,0.09579858,-0.16568023,9.7535715,0.0009469591896049677,7.218101382022725e-05,0.0005416135536506771,1.6416449546813965,15.217071533203125,-13.024656295776367,-0.02435171604156494,0.0007684379816055298,0.06895065307617188,990.5512084960938,0,13.0,1,1
1.28,0.081484616,-0.15614775,9.767777,0.00014776707394048572,0.0008711683913134037,0.0008078247192315757,1.1913328170776367,16.0592041015625,-12.234697341918945,0.004249729216098785,-0.00393366813659668,0.035808563232421875,990.5479125976562,0,13.0,1,1
1.32,0.09345946,-0.16568145,9.760677000000001,0.0004138383665122092,7.226036541396752e-05,0.0004082460945937783,1.181497573852539,15.892436981201172,-12.993265151977539,-0.010022588074207306,0.010215774178504944,0.04053783416748047,990.5585327148438,0,13.0,1,1
1.36,0.08392522,-0.156149,9.758312,1.4119963452685626e-05,0.00127072143368423,0.0004081412043888122,1.0584781169891355,16.356609344482422,-12.847505569458008,-0.014584206044673918,-0.013817936182022095,0.05473423004150391,990.566162109375,0,13.0,1,1
1.4,0.08395064,-0.15376629999999997,9.774885000000001,-0.0005187562783248723,-0.0013923976803198455,8.562637958675623e-06,1.0472807884216309,16.714588165283207,-12.404817581176758,-0.009614743292331696,-0.008745938539505005,0.031063079833984375,990.5484008789062,0,13.0,1,1
1.44,0.08636588,-0.16568336,9.751216000000001,-0.0003858430427499116,-0.0005934101645834744,0.00027477359981276095,1.6555037498474119,15.756546020507812,-12.596452713012695,-0.009572669863700868,-0.0042452216148376465,0.06419563293457031,990.5684204101562,0,13.0,1,1
1.48,0.08878118,-0.15615085,9.755952,0.00014629965880885718,0.0007382485782727599,0.00014140608254820108,1.2083725929260254,16.707542419433597,-12.660181045532227,-0.0194314643740654,-0.009001731872558594,0.059460639953613274,990.57861328125,0,13.0,1,1
1.52,0.081636846,-0.16330132,9.767791,0.00014629965880885718,0.0007382485782727599,0.00014140608254820108,1.2083725929260254,16.707542419433597,-12.660181045532227,0.004378579556941986,0.00029315054416656494,0.05472087860107422,990.57861328125,0,13.0,1,1
1.56,0.07927233,-0.1561521,9.758325,-0.0007860507466830312,0.00033881451236084104,-0.0001250147761311382,1.7523822784423828,15.847454071044922,-12.924638748168945,0.004298321902751923,-0.004871353507041931,0.04524421691894531,990.5512084960938,0,13.0,1,1
1.6,0.08407754,-0.15853602,9.760694,-0.0010526110418140886,-6.06196335866116e-05,0.0004075122706126421,1.5056076049804688,15.40561294555664,-12.783773422241213,-0.014480210840702057,9.85264778137207e-05,0.04050731658935547,990.5585327148438,0,13.0,1,1
1.64,0.08419865,-0.16092220000000002,9.751236,-0.00012075009726686403,-0.0005932116182520987,-0.0007910141721367836,1.6108007431030271,15.661815643310547,-12.276086807250975,-0.005528330802917481,-0.00952322781085968,0.06417083740234375,990.5684204101562,0,13.0,1,1
1.68,0.091397464,-0.15377313,9.753606,-0.00011886884021805601,0.0015353095950558784,0.0004054140881635249,1.520988702774048,15.946561813354492,-12.432878494262695,-0.01507321000099182,-0.009337738156318665,0.05470085144042969,990.5457763671876,0,13.0,1,1
1.72,0.08903676,-0.17522344,9.770178999999999,-0.00025281246053054934,0.0008696475415490568,0.0006713932962156832,1.2866888046264648,16.14864158630371,-12.485578536987305,-0.015623100101947784,0.009531632065773009,0.040495872497558594,990.57373046875,0,13.0,1,1
1.76,0.08906594,-0.15854117,9.760713,-0.00038625154411420237,-0.00032872828887775535,-0.0001276748371310532,1.261335849761963,15.335004806518555,-12.895967483520508,-0.005671665072441101,-0.014363855123519897,0.049957275390625,990.57080078125,0,13.0,1,1
1.8,0.08670521,-0.16569170000000003,9.7559805,-0.00038625154411420237,-0.00032872828887775535,-0.0001276748371310532,1.261335849761963,15.335004806518555,-12.895967483520508,-0.015000797808170319,-0.004894539713859558,0.049953460693359375,990.57080078125,0,13.0,1,1
1.84,0.0819546,-0.15139276,9.753616000000001,-0.00038625154411420237,-0.00032872828887775535,-0.0001276748371310532,1.0999994277954102,16.342475891113278,-12.314184188842773,-0.0008583143353462219,-0.01466403901576996,0.06415081024169922,990.57080078125,0,13.0,1,1
1.88,0.08437365,-0.15854332,9.753619,-0.0009191645658574998,-6.23667729087174e-05,-0.000260953267570585,1.6907758712768557,15.210304260253904,-12.877862930297852,-0.005844622850418091,-0.009716004133224487,0.049948692321777344,990.5634155273438,0,13.0,1,1
1.92,0.07962304,-0.16569385,9.760724,0.0002789755235426128,-6.232110899873078e-05,-0.0001279159332625568,1.7750742435455322,15.763631820678713,-13.385133743286133,0.008538857102394104,0.0047548264265060425,0.04047966003417969,990.57861328125,0,13.0,1,1
1.96,0.09399164,-0.16092801,9.763093,0.0007092762971296906,0.00036370352609083056,7.036831812001765e-05,1.554196834564209,15.767135620117188,-12.735429763793945,-0.029526628553867337,-3.685057163238525e-05,0.05467891693115234,990.5509033203124,0,13.0,1,1
2.0,0.08446121,-0.16807857,9.763096,-8.99524602573365e-05,-0.0005683563649654387,-6.291011231951416e-05,1.030379056930542,16.172164916992188,-12.678407669067385,-0.014771871268749237,-0.009448781609535216,0.035737037658691406,990.5555419921876,0,13.0,1,1
