Timestamp,MaxAx,MaxAy,MaxAz,MaxGx,MaxGy,MaxGz,MaxMx,MaxMy,MaxMz,MaxLiAx,MaxLiAy,MaxLiAz,MaxP,MinAx,MinAy,MinAz,MinGx,MinGy,MinGz,MinMx,MinMy,MinMz,MinLiAx,MinLiAy,MinLiAz,MinP,MeanAx,MeanAy,MeanAz,MeanGx,MeanGy,MeanGz,MeanMx,MeanMy,MeanMz,MeanLiAx,MeanLiAy,MeanLiAz,MeanP,StandardDeviationAx,StandardDeviationAy,StandardDeviationAz,StandardDeviationGx,StandardDeviationGy,StandardDeviationGz,StandardDeviationMx,StandardDeviationMy,StandardDeviationMz,StandardDeviationLiAx,StandardDeviationLiAy,StandardDeviationLiAz,StandardDeviationP,MedianAx,MedianAy,MedianAz,MedianGx,MedianGy,MedianGz,MedianMx,MedianMy,MedianMz,MedianLiAx,MedianLiAy,MedianLiAz,MedianP,VarianceAx,VarianceAy,VarianceAz,VarianceGx,VarianceGy,VarianceGz,VarianceMx,VarianceMy,VarianceMz,VarianceLiAx,VarianceLiAy,VarianceLiAz,VarianceP,KurtosisAx,KurtosisAy,KurtosisAz,KurtosisGx,KurtosisGy,KurtosisGz,KurtosisMx,KurtosisMy,KurtosisMz,KurtosisLiAx,KurtosisLiAy,KurtosisLiAz,KurtosisP,SkeAx,SkeAy,SkeAz,SkeGx,SkeGy,SkeGz,SkeMx,SkeMy,SkeMz,SkeLiAx,SkeLiAy,SkeLiAz,SkeP,SMAAcc,SMAGyr,SMAMag,SMALiAcc,GroupType,Type,Pose,GroupTypeName
0,6.012313217999999,-6.2348992270000005,4.687607034,0.033256726,0.183117726,0.008185091,11.58275283,39.37324703,0.625720441,0.085734516,-0.022158429,0.018786553,989.8195631000001,5.782141657,-6.773899318,3.396325885,0.002669852,0.014275708,-0.043565622000000005,10.15684973,38.1317765,-1.707104045,0.062522187,-0.079010417,-0.077160345,989.8138318,5.857214927999999,-6.446574843,4.202124217,0.01716882,0.08963988099999999,-0.025762717999999997,11.15993499,38.54107708,-1.0841365920000001,0.073150083,-0.0413183,-0.0017512629999999999,989.8160912999999,0.06338822,0.15738064699999998,0.371023,0.012240035,0.047652307000000005,0.011584015,0.394919413,0.37782325,0.714166935,0.0060910140000000005,0.011852986999999999,0.026634768,0.002033367,5.832694442,-6.415241912000001,4.29006508,0.016042593,0.075099174,-0.025525226,11.31133278,38.39583656,-1.409004195,0.074396139,-0.041228833,0.008711328,989.8153228,0.004018066,0.024768667999999997,0.137658066,0.000149818,0.002270742,0.000134189,0.155961343,0.142750408,0.510034411,3.71e-05,0.000140493,0.0007094110000000001,4.13e-06,-0.16027929800000001,-0.923032539,-0.7793590690000001,-1.68374612,-0.901606292,1.1408731429999999,-0.040554823999999996,-0.714088367,-0.31190390100000004,-0.693347685,1.9066998769999999,1.248320797,-1.474038606,0.921629755,-0.48303962,-0.589833225,0.132277742,0.492473409,1.102019473,-1.030827945,0.7826985329999999,0.9972343000000001,0.20400361,-1.29338332,-1.557166544,0.37559052299999995,16.50591399,0.133124655,50.86853169,0.133872189,3,2,3,Walking
1,5.908621502999999,-6.221179443,4.693708817,0.048826752,0.136835406,0.032481623,11.59922985,38.90878822,-0.44364753799999995,0.161347915,0.004651647,0.018786553,989.8184363,5.770555262999999,-6.59770897,3.856688159,0.002669852,-0.214335992,-0.035903354,10.84297002,37.756527,-1.707104045,0.062522187,-0.102853112,-0.086344506,989.8126187,5.822783609,-6.3597157189999995,4.4055645530000005,0.014865573,0.040935061,-0.012955643000000001,11.34942053,38.30137992,-1.429453165,0.07705813,-0.050958498,-0.018857521000000002,989.8150038999999,0.03489119,0.110591701,0.24452309,0.011534019,0.074776059,0.021783808999999998,0.210337379,0.268632263,0.348205205,0.015000117,0.022195008999999998,0.040187621,0.00155291,5.82360172,-6.338725856,4.470353211,0.012065636999999999,0.05966546599999999,-0.023198757,11.43095189,38.23896654,-1.590940561,0.075064823,-0.043166274000000004,0.001313105,989.8142056,0.001217395,0.012230524,0.059791541,0.000133034,0.005591459,0.00047453400000000003,0.044241813,0.072163293,0.12124686400000001,0.000225004,0.000492618,0.001615045,2.41e-06,-0.28581733600000003,-0.831815263,-0.694032924,-0.010523661,2.876641227,-0.37061933399999997,-0.43229802700000003,-0.22275380600000003,0.879785037,19.28501208,0.611181247,-1.382092465,-0.488618751,0.679881512,-0.5466546999999999,-0.6636158329999999,0.865738307,-1.685492262,1.0421699759999998,-0.8228663340000001,0.416580381,1.4188065330000001,4.0689371,-0.856952646,-0.568084944,0.8839324829999999,16.58806388,0.111285649,51.08025361,0.16204869800000002,3,2,3,Walking
2,5.97264285,-6.221179443,4.693708817,0.056683039000000005,0.090977669,0.286531505,11.59922985,38.52482362,0.127134285,0.27144536399999997,0.30048896399999997,0.01840684,989.816695,5.729863729,-6.902455145,3.6858264989999996,-0.013736715,-0.331946154,-0.028405405,9.978442862,37.57253317,-1.707104045,-0.159335358,-0.102853112,-0.136223814,989.8111618999999,5.8070179070000005,-6.395452149,4.413590951000001,0.015205218000000001,-0.04319621,0.02047315,11.19628323,38.08383924,-1.41800149,0.09281359900000001,-0.0008307480000000001,-0.037580217,989.8137945000001,0.040124387000000004,0.187233497,0.251370673,0.016516841,0.147829627,0.071569455,0.504262629,0.276054495,0.416684216,0.06997848,0.117285266,0.042991615999999996,0.001343507,5.806420537,-6.338725856,4.470353211,0.009624454000000001,0.035051372000000004,-0.008535233,11.43095189,38.18003929,-1.590940561,0.076202094,-0.043166274000000004,-0.048290807000000005,989.8140342,0.001609966,0.035056382000000004,0.063187215,0.000272806,0.021853598999999998,0.005122187,0.254280799,0.07620608400000001,0.173625735,0.004896988,0.013755834,0.001848279,1.81e-06,4.622122396,1.3040889340000001,0.754297058,0.747153368,-0.592280999,4.5437909460000006,0.642566583,-0.841145149,4.2866917110000005,3.7125511980000003,1.195686836,-1.203781773,-0.13640169800000002,1.241559033,-1.5094119609999999,-1.114605637,1.2378726820000001,-1.034873251,2.227422813,-1.476107615,-0.567232958,2.168723036,0.278251804,1.649936782,-0.063789241,-0.35465838,16.61606101,0.170730246,50.70320933,0.233863249,3,2,3,Walking
3,6.881279103,-6.221179443,4.693708817,0.056683039000000005,0.06442384799999999,0.387360501,12.369745199999999,38.29290033,2.204853071,0.27144536399999997,0.30048896399999997,0.013059207,989.8150957999999,5.729863729,-7.503541159,3.067334099,-0.017192655,-0.430800821,-0.025395669,9.978442862,37.57253317,-1.707104045,-1.666314993,-0.102853112,-0.42562472100000004,989.8111262,5.944128175,-6.540310259,4.217961111,0.013751188000000001,-0.13314908,0.08784563699999999,11.27531271,37.95176015,-0.863755912,-0.145162735,0.025248235,-0.09633573,989.8131773,0.31745013699999997,0.367692718,0.524954115,0.019153201,0.181956595,0.13616559,0.615063481,0.246642748,1.232963785,0.534064579,0.126307156,0.103633194,0.001223999,5.806420537,-6.338725856,4.470353211,0.0061665,-0.059102321,0.028318086,11.47153417,37.98203688,-1.590940561,0.07176068299999999,-0.042684142,-0.071315904,989.8139419,0.10077459,0.135197935,0.275576823,0.000366845,0.033108202,0.018541068,0.378303086,0.060832645,1.520199696,0.285224975,0.015953498,0.010739839,1.5e-06,2.211882595,-0.118238195,-0.493638264,-0.12754374,-1.679147071,-0.294288735,-0.096432868,-1.579337333,0.303513737,2.042534657,-0.389832605,1.880753705,-1.237412463,1.912403801,-1.057597713,-0.999545895,0.822474872,-0.257259108,1.101221483,-0.680443364,-0.134454761,1.338672608,-1.8716230619999998,1.026806036,-1.594056938,-0.579910052,16.70239954,0.288027176,50.64601669,0.503482758,3,2,3,Walking
4,6.94971774,-6.221179443,4.693708817,0.08570735199999999,0.04831307,0.387360501,12.369745199999999,38.19699215,2.920788618,0.27144536399999997,1.735344895,-0.020525122,989.8190147,5.729863729,-8.422483782999999,2.520446911,-0.017192655,-0.470788094,-0.21558675800000002,7.568289944,35.52695903,-1.707104045,-1.686677856,-0.102853112,-0.644160602,989.8111262,6.151758447000001,-6.865184851,3.8807853839999997,0.026190027999999997,-0.235276205,0.071206218,11.00752346,37.62272686,0.005452182,-0.439383535,0.229683793,-0.214092327,989.8139608999999,0.47499583100000003,0.665240147,0.7560510770000001,0.028386612999999998,0.18919836899999998,0.160424092,1.018544525,0.630333735,1.795439993,0.723715903,0.446066887,0.21151528600000002,0.002389718,5.806493501,-6.747742502,4.050856651,0.017314297,-0.316665608,0.0318894,11.47442174,37.75949455,-0.8556818890000001,0.06958818900000001,0.05085403,-0.08507801699999999,989.8139518999999,0.22562104,0.44254445299999995,0.57161323,0.0008058,0.035796022999999996,0.025735888999999998,1.03743295,0.39732061799999996,3.2236047689999996,0.523764708,0.198975667,0.044738716,5.71e-06,-1.360958465,-0.569815835,-1.421019611,-0.9555376879999999,-1.4720547,-0.392115135,1.984715262,3.01532991,-1.442307513,-1.298970025,3.07892867,-0.514955554,-0.21693458899999998,0.667707928,-0.7929552129999999,-0.363574591,0.429250929,0.36059110200000005,0.399694945,-1.364309211,-1.8676081830000002,0.492287652,-0.666361317,1.945727021,-1.03556024,0.8316873309999999,16.89772868,0.40088343600000004,50.26008458,1.073948376,3,2,3,Walking
5,7.296782739,-6.221179443,4.693708817,0.08570735199999999,0.007558595,0.387360501,12.369745199999999,38.1141439,4.560209028,0.27144536399999997,2.277191163,-0.050467115,989.8190147,5.729863729,-8.883186588,2.186409129,-0.10378084300000001,-0.470788094,-0.21558675800000002,5.732686514,35.0538037,-1.6685361769999998,-1.6931473280000002,-0.102853112,-0.975750618,989.8111262,6.392696002,-7.370436586,3.4157813580000003,0.020504573999999998,-0.309117375,0.087592772,9.934753192999999,37.01825469,1.0530927509999999,-0.6968060759999999,0.672249476,-0.358317526,989.8147935000001,0.538265478,0.929268677,0.864607164,0.042993785,0.135837541,0.169414462,2.1514206959999997,1.100607742,2.03110212,0.729686979,0.860421228,0.289660533,0.0029712909999999996,6.551678401,-7.084755098,3.291168307,0.02438227,-0.332641063,0.046704378,10.58916233,37.60703156,1.4292970969999998,-0.9738200109999999,0.260098915,-0.269875193,989.8140614,0.289729725,0.863540275,0.747545548,0.001848466,0.018451838,0.02870126,4.628611011,1.211337403,4.125375821,0.532443088,0.740324689,0.083903224,8.83e-06,-1.684164196,-1.243000845,-1.3768778640000001,1.0637425090000001,0.037853217,-0.788002263,-0.60924328,-0.933617495,-1.494312105,-1.646478796,-0.8310991329999999,-1.193654575,-1.590727751,-0.044965934000000006,-0.37566103,0.146624071,-1.05271873,0.9873571809999999,0.06594761,-0.907985402,-0.886766886,-0.076595674,0.073257397,0.9096344340000001,-0.46832861600000003,0.205963581,17.17891395,0.497442967,48.95218314,1.861863649,3,2,3,Walking
6,8.194623949,-6.426686296000001,4.420704914,0.08570735199999999,-0.199694075,0.387360501,12.369745199999999,37.80689808,6.337002609,0.27144536399999997,2.535054217,-0.050467115,989.8190147,5.729863729,-9.398196513,1.9758968959999998,-0.106711074,-0.470788094,-0.21558675800000002,5.732686514,35.0538037,-1.367077703,-2.883779809,-0.012640001000000001,-1.251450009,989.8111262,6.808449085,-7.934008999,2.90360151,0.004782042,-0.33622399999999997,0.12152473400000001,9.244213278,36.57470635,2.52722968,-1.220138195,1.117600039,-0.57298627,989.8156157,0.7071697459999999,0.941417024,0.7397256790000001,0.056070663,0.08732505900000001,0.18129350100000002,2.121777679,1.080056259,2.252958971,0.915483789,0.935871061,0.38819407899999997,0.0030965059999999997,6.841445107999999,-7.9151156039999995,2.7833557819999997,0.014239742,-0.332641063,0.140332237,9.991220709,36.66768503,2.7553477930000003,-1.266218405,0.917258114,-0.607188087,989.8174180999999,0.50008905,0.886266013,0.54719408,0.0031439190000000002,0.007625666,0.032867333,4.501940519,1.166521522,5.0758241260000005,0.838110568,0.8758546429999999,0.15069464300000002,9.59e-06,-0.600667073,-1.508812557,-0.978048233,-0.745320601,-1.2521074620000001,-1.0231689940000002,-1.227278244,-1.709298935,-0.859875086,-0.645511532,-1.7623893730000002,-1.1497988190000001,-1.597830157,0.180934934,0.056510838,0.5045845760000001,-0.589856215,0.073855951,-0.319984303,-0.19985408100000002,-0.13833657900000002,-0.034712308,0.006279428,0.11255415199999999,-0.230833087,-0.43969201399999996,17.64605959,0.5685427129999999,48.65434861,2.979605155,3,2,3,Walking
7,8.194623949,-6.915924438999999,3.601475101,0.08570735199999999,-0.194882988,0.387360501,12.369745199999999,37.80689808,6.372487575,-0.330567344,4.1316035730000005,-0.155100284,989.8191284,6.066121492000001,-9.797322176,1.733102216,-0.106711074,-0.470788094,-0.40970276200000005,2.217826702,33.11248879,0.38292938600000004,-2.883779809,-0.012640001000000001,-1.279065573,989.8111262,7.2377818220000005,-8.501784946,2.4544760009999997,0.009267886,-0.322090799,0.029963432,8.213950781,35.93958515,3.9217803780000002,-1.6964673140000002,1.743116701,-0.8054432229999999,989.8169857999999,0.610133786,0.885020261,0.552872335,0.05893668,0.096127215,0.254649105,2.7142986939999996,1.265657737,1.902877859,0.676457715,1.169444944,0.368926055,0.002468094,6.970683037000001,-8.843966603,2.286224289,0.021875087,-0.328350607,0.04214952,8.030802533,35.7523261,3.387307887,-1.63624076,2.016429639,-0.743478671,989.8179932,0.372263237,0.783260863,0.305667818,0.003473532,0.009240441,0.064846167,7.367417399,1.6018895069999999,3.6209441460000003,0.45759504,1.3676014769999998,0.136106434,6.09e-06,-1.185062058,-1.102846258,-0.971393272,-0.8189922740000001,-1.5563392219999999,-1.2558830970000001,-0.8024975529999999,-0.63191801,-1.354845644,-0.8412492090000001,-0.8825344740000001,-1.337766598,0.713062082,0.151293412,0.43627982299999996,0.506558292,-0.598042604,-0.153463622,-0.20709206800000002,-0.062043145,-0.04015739,-0.049109632,-0.264360573,-0.005349228,0.173930342,-1.472541155,18.19404277,0.5961764829999999,48.07531631,4.245532839,3,2,3,Walking
8,8.341382183,-7.584111722,3.026445007,0.08570735199999999,0.126611976,0.329275041,12.12793116,37.50149426,7.936909618,-0.971973867,4.592281269,-0.47097818,989.8196267000001,6.746051035,-10.08908232,1.733102216,-0.302257832,-0.470788094,-0.40970276200000005,0.833783322,32.78812524,2.335533975,-2.883779809,0.365265058,-2.0346714009999998,989.8158347000001,7.541064399,-9.076244297999999,2.210362051,-0.029194482999999997,-0.25546467,-0.031819705,6.15453661,34.97119375,4.967670322,-1.848917947,2.617240771,-1.084080253,989.8183026,0.541955392,0.726274361,0.35269498,0.10547464,0.149050734,0.226267535,3.1632221210000004,1.3654057590000002,1.6339109369999998,0.586564442,1.2398961640000001,0.40263793600000003,0.000762709,7.772580737,-9.040691999,2.152800391,-0.004069395999999999,-0.24217845,-0.04490231099999999,6.529467091,35.23081712,5.8924661270000005,-1.712726779,2.260271671,-1.157923557,989.8182691,0.29371564699999997,0.527474447,0.124393749,0.0111249,0.022216121000000002,0.051196998,10.00597419,1.864332886,2.6696649519999998,0.344057845,1.5373424969999998,0.162117307,5.82e-07,-1.5860972119999999,-0.7670408959999999,-0.31237428899999997,0.242108954,-0.029893648999999998,-1.136214461,-0.789774072,-0.875177793,-1.395905725,-0.987934498,-0.9313413190000001,-0.42895755399999996,0.839693421,-0.230781055,0.38437269700000004,0.69939613,-1.005669705,0.46069023600000003,0.017924571,-0.18084271,-0.26897012,-0.289176879,-0.25280807,0.171552293,-0.43105653200000005,-0.633972423,18.82767075,0.5443111310000001,46.09340069,5.550238971000001,3,2,3,Walking
9,9.131497863,-8.534864042999999,2.45982725,0.081647633,0.32108503,0.360449609,8.520329312000001,35.99672149,12.971970599999999,-0.971973867,4.592281269,-0.637721125,989.8196267000001,6.778264975,-10.19032995,1.733102216,-0.306859628,-0.425678434,-0.40970276200000005,0.833783322,32.78812524,2.94892491,-3.770189193,1.89211867,-2.087513172,989.8151891000001,7.943550226,-9.485294578,2.128168417,-0.089197233,-0.10926827900000001,0.040479216,5.212317758999999,34.40267958,6.576956267000001,-2.2418440509999997,3.2139413660000002,-1.376829962,989.8179355000001,0.6359144760000001,0.513315607,0.224130425,0.12171627300000001,0.226110482,0.248150517,2.415384494,1.1132083659999998,2.494849486,0.797363438,0.9773117659999999,0.464139624,0.0011620789999999999,7.965855177999999,-9.491969931,2.152800391,-0.076951804,-0.20604219699999998,0.09278080300000001,5.940097634,34.49214449,6.178138562999999,-2.180281731,3.29444928,-1.247103764,989.8180536,0.404387221,0.26349291199999997,0.050234448,0.014814851,0.05112595,0.061578679000000004,5.834082252000001,1.239232865,6.224273957,0.635788452,0.9551382890000001,0.21542559100000003,1.35e-06,-0.478583394,-1.4147174519999999,-1.211145803,-1.02964374,-0.660736027,-1.120489508,-0.981659863,-1.506225207,0.40332844,-0.779268878,-1.662380475,-1.1045171759999999,0.34789393399999996,0.000265129,0.258515636,-0.338392362,-0.382167165,0.807483332,-0.424526671,-0.51966108,-0.122112795,0.899020458,-0.251505433,-0.0041925090000000005,-0.248924879,-0.979658547,19.55701322,0.567087756,46.19195361,6.83261538,3,2,3,Walking
