Timestamp,MaxAx,MaxAy,MaxAz,MaxGx,MaxGy,MaxGz,MaxMx,MaxMy,MaxMz,MaxLiAx,MaxLiAy,MaxLiAz,MaxP,MinAx,MinAy,MinAz,MinGx,MinGy,MinGz,MinMx,MinMy,MinMz,MinLiAx,MinLiAy,MinLiAz,MinP,MeanAx,MeanAy,MeanAz,MeanGx,MeanGy,MeanGz,MeanMx,MeanMy,MeanMz,MeanLiAx,MeanLiAy,MeanLiAz,MeanP,StandardDeviationAx,StandardDeviationAy,StandardDeviationAz,StandardDeviationGx,StandardDeviationGy,StandardDeviationGz,StandardDeviationMx,StandardDeviationMy,StandardDeviationMz,StandardDeviationLiAx,StandardDeviationLiAy,StandardDeviationLiAz,StandardDeviationP,MedianAx,MedianAy,MedianAz,MedianGx,MedianGy,MedianGz,MedianMx,MedianMy,MedianMz,MedianLiAx,MedianLiAy,MedianLiAz,MedianP,VarianceAx,VarianceAy,VarianceAz,VarianceGx,VarianceGy,VarianceGz,VarianceMx,VarianceMy,VarianceMz,VarianceLiAx,VarianceLiAy,VarianceLiAz,VarianceP,KurtosisAx,KurtosisAy,KurtosisAz,KurtosisGx,KurtosisGy,KurtosisGz,KurtosisMx,KurtosisMy,KurtosisMz,KurtosisLiAx,KurtosisLiAy,KurtosisLiAz,KurtosisP,SkeAx,SkeAy,SkeAz,SkeGx,SkeGy,SkeGz,SkeMx,SkeMy,SkeMz,SkeLiAx,SkeLiAy,SkeLiAz,SkeP,SMAAcc,SMAGyr,SMAMag,SMALiAcc,GroupType,Type,Pose,GroupTypeName
0,-0.14086107,5.753027986,8.220378963,0.002407059,0.031072536,0.014470051999999999,28.52294446,-8.274293705,-22.97828095,0.009072901999999999,0.024729541,-0.01003139,990.7547543,-0.330156269,5.372278695,7.933570314,-0.043180771,0.014481451999999999,-0.0050743590000000005,26.89118452,-10.36806574,-23.25433705,-0.037384996000000004,-0.00944442,-0.048235256,990.7487488,-0.229194653,5.5390062339999995,8.094146535,-0.020203578,0.02120914,0.004243538,27.43301742,-9.168549416,-23.17049635,-0.008874695,0.0076566180000000005,-0.024102761,990.7510652999999,0.065625031,0.137247866,0.10432724,0.01563986,0.00526401,0.005226560999999999,0.535893694,0.773293646,0.065927805,0.010578935,0.013516647,0.010360963,0.001900614,-0.214161687,5.509093678999999,8.116043438,-0.020264471000000003,0.021528879,0.002823177,27.24758909,-9.016042882,-23.17145257,-0.010849144,0.009897643000000001,-0.0233106,990.7501916000001,0.004306645,0.018836976999999998,0.010884173,0.000244605,2.7699999999999996e-05,2.7300000000000003e-05,0.287182051,0.5979830629999999,0.004346475,0.000111914,0.0001827,0.00010735,3.61e-06,-1.3795685309999999,-1.471686847,-1.473020885,-1.378480154,-1.2234492829999999,-0.560279826,-0.961857917,-1.522471685,0.918578109,0.219759039,-1.7704028930000002,-0.8594954579999999,-1.001673243,-0.311329,0.286675279,-0.287947755,-0.033180545,0.24257475,0.696408005,0.669152413,-0.256950199,1.0201003690000001,-0.405631048,-0.062029552,-0.33880988799999995,0.6381495229999999,13.86234742,0.046670946,59.77206319,0.048671555,3,2,4,Walking
1,-0.16502857699999998,5.700800312999999,8.220378963,0.002407059,0.031072536,0.014470051999999999,28.87131297,-8.113151793,-22.76583036,-0.00033151800000000005,0.021274542999999996,0.027816808,990.7562488,-0.330156269,5.370561802999999,7.969474722999999,-0.043180771,0.011560758,-0.000219386,26.93697368,-10.07111412,-23.25433705,-0.075186401,-0.042751770999999994,-0.030916967000000004,990.749082,-0.26309387,5.466235565,8.147491621,-0.018125653000000002,0.020955709,0.006507827,27.79685933,-8.758651214,-23.10881564,-0.021685224,-0.0022694679999999997,-0.014731683,990.7523273,0.060280635,0.10614403800000001,0.07876992,0.016877935,0.005623866999999999,0.004986587,0.661874395,0.609509465,0.147016014,0.020611048,0.01673202,0.014466814,0.002357311,-0.276620832,5.418909843,8.190369025,-0.015724221,0.021528879,0.004914509,27.71821095,-8.454122855,-23.15728626,-0.01335134,-0.006374234,-0.01641139,990.7518441,0.003633755,0.011266557,0.0062047,0.000284865,3.16e-05,2.49e-05,0.438077714,0.37150178799999994,0.021613708,0.000424815,0.00027996,0.000209289,5.56e-06,-1.525871306,-0.569307612,-0.524646708,-1.5820986680000002,-1.153655603,-1.4274966969999998,-1.4300745730000002,-0.68209647,-0.253795714,0.362579304,-0.422408866,1.037686586,-1.4300486000000001,0.301632,0.8948683059999999,-0.92973196,-0.21575171899999998,0.07539006,0.32907348399999997,0.182423697,-0.868897432,1.020626764,-1.267061615,-0.316582588,1.149360736,0.21147644,13.87682106,0.046016315,59.66432618,0.05425514,3,2,4,Walking
2,-0.196269762,5.565576506,8.220378963,0.002407059,0.031072536,0.016113941,29.08188306,-7.703573222999999,-22.67325458,-0.004998059,0.019874744,0.089515001,990.7582962000001,-0.366716243,5.3700165129999995,8.073595468999999,-0.042643377999999996,-0.002132075,0.000155747,27.08159306,-9.373817707,-23.25433705,-0.08803353800000001,-0.16322715599999998,-0.029637807000000002,990.7496169,-0.293917802,5.414944233,8.183107559,-0.013509461,0.01907832,0.007108946999999999,28.20301908,-8.379009177,-23.01704851,-0.035255974,-0.025068097,0.00321661,990.7538278999999,0.046609059,0.055010609,0.03873713,0.013493386000000001,0.008333051999999999,0.00491697,0.661185539,0.400160435,0.216909884,0.027148343999999998,0.04114635,0.031946043,0.002583794,-0.314716884,5.392089491,8.198442056000001,-0.010948246000000002,0.021528879,0.005841305,28.30586875,-8.294427794,-23.07287041,-0.021779081000000002,-0.008426299,-0.010500401000000001,990.7541395999999,0.0021724039999999997,0.003026167,0.001500565,0.00018207099999999999,6.94e-05,2.42e-05,0.437166317,0.16012837300000002,0.047049898,0.000737033,0.0016930220000000002,0.00102055,6.68e-06,-0.6414227579999999,0.549830131,0.796123823,-0.579037947,-0.282522579,-1.41399718,-1.355935373,0.104278723,-1.4567341130000002,-1.064095975,2.6505623259999997,0.437436169,-1.166711927,0.8170182990000001,1.297443259,-1.38363745,-0.713816586,-0.662515391,0.256741184,-0.23580606699999998,-0.6992593290000001,0.37584995600000004,-0.66542547,-1.784545363,1.274872618,-0.134207625,13.89196959,0.040222214,59.59907677,0.08880011800000001,3,2,4,Walking
3,-0.244622617,5.5436584,8.220378963,0.002407059,0.031072536,0.064837432,29.20569368,-7.639618861000001,-22.62359064,0.0072841730000000006,-0.002374495,0.17380109600000002,990.7605774,-0.371439643,5.3700165129999995,8.130158661,-0.024249809,-0.002132075,0.000155747,27.49282509,-8.666621719,-23.25433705,-0.08803353800000001,-0.34374020299999997,-0.021782736,990.7513361,-0.322979371,5.410747146,8.191435944,-0.00987438,0.016579188,0.016302653,28.57584061,-8.104870781,-22.90710838,-0.03313287,-0.07954164,0.03468565,990.7557389000001,0.030589966,0.047571986,0.024027205,0.008201474,0.009578323,0.017924508999999998,0.529170386,0.306353606,0.22528432199999998,0.029592898,0.102186634,0.059532330999999994,0.0026874309999999997,-0.323963708,5.392089491,8.198442056000001,-0.010948246000000002,0.016766686,0.010994185,28.73014091,-8.220926081,-22.85056864,-0.021779081000000002,-0.024830341000000002,0.0071133130000000004,990.7557457999999,0.0009357460000000001,0.0022630939999999998,0.000577307,6.73e-05,9.17e-05,0.000321288,0.280021297,0.09385253199999999,0.050753026,0.00087574,0.010442108,0.003544098,7.22e-06,0.269208782,0.522538573,0.375977379,-1.488664356,-0.8975011559999999,1.3949159230000001,-0.9319099209999999,-1.17175525,-1.453840433,-1.0868856000000002,0.295984911,-0.258446623,-0.934877538,0.5773817920000001,1.232270409,-1.084285852,0.079334118,-0.302352883,1.626179523,-0.63887225,0.268601653,-0.35056302799999994,-0.44885664799999997,-1.296200909,0.9901265840000001,0.149392423,13.92516246,0.043385795,59.58781977,0.160999597,3,2,4,Walking
4,-0.202666105,5.574582943999999,8.220378963,0.002407059,0.030429706,0.065373159,29.29270149,-7.639618861000001,-22.5384336,0.0072841730000000006,-0.005868239,0.17380109600000002,990.7609023,-0.371439643,5.3700165129999995,8.130158661,-0.019207263999999998,-0.015741367,0.000155747,28.04160557,-8.325131017,-23.17164035,-0.08803353800000001,-0.397212835,-0.014208638,990.7534245999999,-0.32228918300000003,5.438054835,8.186760309,-0.008876568,0.011962331999999999,0.025415132000000003,28.88452025,-7.9731389560000006,-22.77263055,-0.03328062,-0.15464662199999998,0.06850977700000001,990.7574643999999,0.035835506,0.076669719,0.026592745,0.007418406999999999,0.010531621000000001,0.022037501,0.35861030200000005,0.253318873,0.18380694,0.030295878,0.14956857,0.068239218,0.002528036,-0.324900875,5.392089491,8.193953729,-0.009725432,0.012392717,0.014009261,29.02902252,-7.906210644,-22.69190014,-0.028369941,-0.08792457699999999,0.057537227,990.7572104000001,0.001284183,0.005878246,0.000707174,5.5e-05,0.000110915,0.000485651,0.128601349,0.06417045099999999,0.033784991,0.00091784,0.022370757,0.004656591,6.39e-06,2.628219219,-1.228000175,-0.679268743,-1.555749826,-0.036995014,-1.1313318140000002,-0.475429517,-1.619168358,-0.669324746,-1.135248285,-1.39081056,-1.514442931,-1.474035049,1.4286157130000001,0.66783626,-0.669440139,0.097420757,-0.441009725,0.649468181,-0.8039306009999999,-0.09428912199999999,-0.711961944,-0.31673836,-0.506364053,0.201875045,0.024169496000000002,13.94710433,0.048343471,59.63028976,0.263615429,3,2,4,Walking
5,-0.09949470099999999,5.574582943999999,8.220968989,0.003659259,0.020585213999999998,0.065373159,29.29270149,-7.639618861000001,-22.53708014,0.0072841730000000006,-0.011547935,0.188974421,990.7609023,-0.371439643,5.3700165129999995,8.128781376000001,-0.019207263999999998,-0.040706489,-0.033042788,28.56405544,-8.267553204,-22.95390459,-0.092489599,-0.397212835,-0.009204496999999999,990.7548419,-0.282735849,5.464094372000001,8.177729431,-0.009705835,0.0007103,0.021542254,29.04316713,-7.881687905,-22.66712788,-0.044348059,-0.22618418199999998,0.101726586,990.7586167000002,0.087108042,0.07518836400000001,0.028469361000000002,0.006564746,0.01805893,0.026732062999999997,0.194937042,0.196863127,0.11599239199999999,0.034891702000000004,0.147592264,0.062811566,0.001998663,-0.318551326,5.487360226,8.180150022000001,-0.009725432,0.00822269,0.013501869,29.08134888,-7.844193715,-22.67400914,-0.04954763,-0.26034657699999997,0.111892274,990.7596818,0.007587811,0.00565329,0.000810505,4.31e-05,0.000326125,0.0007146030000000001,0.03800045,0.038755091,0.013454235,0.0012174310000000002,0.021783476,0.003945293,3.99e-06,-0.27800634399999996,-1.571869996,-1.126304295,-1.364883122,-0.133527431,-0.896773488,-0.186353758,-0.756650387,-0.266327899,-1.434467067,-1.638392679,-1.262570438,-1.237389201,1.076597383,-0.094274016,-0.277816379,0.093295596,-1.054355585,0.13823380400000002,-0.776665955,-0.6623542370000001,-0.7549030729999999,0.20939101699999998,0.254887157,-0.34440365700000003,-0.524987863,13.92455965,0.050777752999999995,59.59198291,0.37492136,3,2,4,Walking
6,-0.069630021,5.574582943999999,8.225623566,0.018323012,0.020585213999999998,0.065373159,29.29270149,-7.225830886000001,-22.53708014,0.0072841730000000006,-0.047187621,0.188974421,990.7609023,-0.371439643,5.3700165129999995,8.128781376000001,-0.019207263999999998,-0.048017721,-0.056366134000000005,28.49881658,-8.07936782,-22.74856828,-0.092489599,-0.397212835,0.033285455,990.7562376,-0.23855241600000002,5.47551057,8.179485821,-0.006441353,-0.010684042,0.010042868,29.03664808,-7.733410342000001,-22.61581007,-0.046813544000000006,-0.274270408,0.118407068,990.7594399000001,0.110090318,0.06603723,0.030689933,0.011422093000000001,0.023191537,0.039005447,0.208364888,0.18247806800000002,0.06345841,0.036159932,0.110193514,0.043237819000000004,0.001297855,-0.278511145,5.491110306,8.180150022000001,-0.009725432,-0.001748977,0.006854596,29.08134888,-7.7430781070000005,-22.59997097,-0.060426823,-0.311333108,0.111892274,990.7598337000002,0.012119878,0.004360915999999999,0.000941872,0.000130464,0.0005378469999999999,0.001521425,0.043415927,0.033298245,0.00402697,0.001307541,0.012142611000000001,0.0018695089999999999,1.68e-06,-1.669210743,-1.218138243,-1.138827531,-0.636219569,-1.509979802,-1.2102434770000001,0.126656203,0.612997389,-1.290254918,-1.4955285269999998,-0.80941753,-1.050936028,0.194682305,0.214052832,-0.253898597,-0.124842994,0.8002188379999999,-0.283207077,-0.177075698,-0.928558969,0.7375039390000001,-0.324474672,0.315772028,0.7116511790000001,-0.097430802,-1.13111833,13.89354881,0.065723872,59.38586849,0.44148265299999995,3,2,4,Walking
7,0.235664889,5.574582943999999,8.285804376,0.026103271,0.020585213999999998,0.065373159,29.29270149,-6.313396076,-22.53708014,0.0072841730000000006,-0.037855301,0.188974421,990.7609023,-0.371439643,5.291120244,8.128781376000001,-0.019207263999999998,-0.121507373,-0.133336762,27.42962535,-7.917066056,-23.05116788,-0.319456616,-0.397212835,-0.011467355,990.7574522,-0.15612642,5.462856256,8.194206447000001,0.000466585,-0.028639732,-0.010112151,28.83855939,-7.51043581,-22.64194265,-0.073879005,-0.276331845,0.109850189,990.759857,0.161297376,0.085526122,0.047540075,0.014352638999999999,0.036294572000000004,0.059417063,0.48323896200000005,0.42273562200000003,0.119268427,0.081735677,0.107310741,0.05728064,0.0007065610000000001,-0.11692362099999999,5.491110306,8.180814312,-0.0028685240000000003,-0.032269092,-0.007593096999999999,29.08072817,-7.661202728999999,-22.59997097,-0.064024956,-0.311333108,0.111892274,990.7599608999999,0.026016842999999998,0.007314716999999999,0.002260059,0.000205998,0.0013172960000000001,0.0035303870000000003,0.23351989399999998,0.178705406,0.014224958000000001,0.006680721,0.011515595,0.0032810720000000003,4.99e-07,-0.359309924,-0.835606631,-0.971789797,-1.473585916,-0.18699012,-1.065387006,0.747756325,0.86369845,2.750574116,1.599280089,-0.72028132,-0.44749012299999996,1.3448931119999998,0.459863969,-0.6310384929999999,0.364759756,0.16519129999999999,-0.593306776,-0.346359459,-1.271394224,1.369735981,-1.7454398780000002,-1.4396526369999998,0.715306804,-0.67854729,-0.954619663,13.84937095,0.10046078300000001,58.99093785,0.463092651,3,2,4,Walking
8,0.48946954,5.574582943999999,8.285804376,0.044900069,0.019468535,0.065373159,29.29270149,-5.253217974,-22.53708014,0.005812184000000001,0.037627735,0.188974421,990.7609023,-0.33187932,5.291120244,8.128781376000001,-0.014229422,-0.177119707,-0.224802764,24.82096124,-7.917066056,-23.84135453,-0.460095012,-0.397212835,-0.087180387,990.7548806,-0.004525199000000001,5.430678597999999,8.214187062,0.011765093999999999,-0.063071299,-0.055941421,28.22877638,-7.128002864,-22.80166659,-0.15511048300000002,-0.22381731,0.073584995,990.7590694,0.240054718,0.098011104,0.047508349000000005,0.01793374,0.058980542999999996,0.082023851,1.234563297,0.823569705,0.37238331700000005,0.147357584,0.154288849,0.082909337,0.001799145,-0.10049901300000001,5.427832901,8.221463738999999,0.012846693000000001,-0.041791497000000004,-0.048014049,28.69271441,-7.480777565,-22.59997097,-0.086443058,-0.267964237,0.092256484,990.7597476,0.057626267,0.009606176,0.002257043,0.00032161900000000004,0.003478705,0.006727912,1.524146534,0.678267058,0.138669335,0.021714257999999997,0.023805049,0.006873958,3.24e-06,-0.624000365,-1.579053826,-1.129316056,-1.025559556,-0.6899806470000001,-0.8244248240000001,0.697327898,-0.582725023,0.9040042309999999,-0.68609487,-1.486963784,-1.0457215229999999,-0.159372738,0.747424823,0.03591973,-0.33404641399999996,0.27208288199999997,-0.703886447,-0.337879906,-1.32989886,0.8803933890000001,-1.475621153,-0.897632971,0.365933585,-0.407886387,-1.161322962,13.84460374,0.161669406,58.15844584,0.47633832299999995,3,2,4,Walking
9,0.634826727,5.518966221,8.285804376,0.044900069,-0.017921397,0.023690136,29.22541558,-3.929786426,-22.53708014,-0.049373672,0.21599257800000002,0.188974421,990.7604484,-0.185438383,5.250641989,8.128781376000001,-0.006849131,-0.23708006,-0.31395022899999997,21.25777164,-7.917066056,-24.52984613,-0.59464823,-0.37545475700000003,-0.16042790199999998,990.7500267000001,0.161080153,5.378808492,8.233257522,0.01791172,-0.10341347699999999,-0.121011046,26.97215555,-6.4727461470000005,-23.139673100000003,-0.25728496,-0.119946192,0.018621906,990.7573091,0.280769795,0.085055978,0.041367678,0.014441542,0.06842598700000001,0.09946004,2.3492150919999997,1.24229094,0.670718126,0.187033489,0.186344432,0.102395076,0.0032206979999999997,0.076497894,5.347518667,8.249822799,0.017823629,-0.08058658099999999,-0.095459395,28.07949483,-6.792971278,-22.80899115,-0.205251309,-0.10818404699999999,0.0060572840000000005,990.7592155,0.078831678,0.007234519,0.001711285,0.000208558,0.004682116,0.009892299,5.5188115479999995,1.54328678,0.449862804,0.034981526,0.034724247,0.010484752,1.04e-05,-1.551459469,-1.16978566,0.745254047,-0.6794949690000001,-1.452025195,-1.090878664,-0.302234031,-1.01296939,-0.8234518540000001,-1.4887071619999999,-1.250107138,-1.153571827,-0.534920485,0.322206202,0.53542539,-1.229684542,0.06307683,-0.3432947,-0.44360871799999996,-0.9930089809999999,0.536255468,-0.8158982709999999,-0.34639917,0.056432972000000005,-0.038060689,-0.904636111,13.86820593,0.245974802,56.5845748,0.523168282,3,2,4,Walking
