Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Static,802,DT,1.0,1.0,1.0,1.0,0.05,0.4,0.45
Static,802,KNN3,1.0,1.0,1.0,1.0,0.04,0.4,0.44
Static,802,KNN5,1.0,1.0,1.0,1.0,0.02,0.4,0.42
Static,802,ETC100,1.0,1.0,1.0,1.0,0.21,0.4,0.61
Static,802,ETC50,1.0,1.0,1.0,1.0,0.11,0.4,0.51
Static,802,ETC25,1.0,1.0,1.0,1.0,0.06,0.4,0.46
Static,802,ETC10,1.0,1.0,1.0,1.0,0.04,0.4,0.44
Static,802,RFC100,1.0,1.0,1.0,1.0,0.47,0.4,0.87
Static,802,RFC50,1.0,1.0,1.0,1.0,0.24,0.4,0.64
Static,802,RFC25,1.0,1.0,1.0,1.0,0.14,0.4,0.54
Static,802,RFC10,1.0,1.0,1.0,1.0,0.08,0.4,0.48
