Name,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Dynamic,802,DT,0.67,0.3,0.42,0.31,0.12,0.4,0.52
Dynamic,802,KNN3,0.92,0.89,0.9,0.89,0.03,0.4,0.43
Dynamic,802,KNN5,0.91,0.86,0.88,0.87,0.03,0.4,0.43
Dynamic,802,ETC100,0.99,0.98,1.0,0.99,0.92,0.4,1.32
Dynamic,802,ETC50,0.99,0.98,0.99,0.99,0.46,0.4,0.86
Dynamic,802,ETC25,0.99,0.98,0.99,0.99,0.23,0.4,0.63
Dynamic,802,ETC10,0.98,0.97,0.98,0.98,0.11,0.4,0.51
Dynamic,802,RFC100,0.98,0.95,0.99,0.97,3.57,0.4,3.97
Dynamic,802,RFC50,0.98,0.96,0.99,0.97,1.74,0.4,2.14
Dynamic,802,RFC25,0.97,0.95,0.98,0.97,0.86,0.4,1.26
Dynamic,802,RFC10,0.97,0.95,0.97,0.96,0.35,0.4,0.75
